Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/05/2017;0;7;13;Muy buena / Oso ona;7;28;Buena / Ona;18;Buena / Ona;259;80;1007,5;0;108,3;19,2;0,32;Buena / Ona
27/05/2017;2;22;54;Buena / Ona;25;31;Buena / Ona;20;Buena / Ona;347;75;1007,1;0;226,1;21;0,17;Buena / Ona
26/05/2017;3;23;74;Buena / Ona;28;27;Buena / Ona;16;Muy buena / Oso ona;322;65;1006,2;0;270;21,9;0,35;Buena / Ona
25/05/2017;5;26;53;Buena / Ona;34;32;Buena / Ona;17;Buena / Ona;233;56;1006;0;302,3;25,9;0,14;Buena / Ona
24/05/2017;3;23;53;Buena / Ona;27;23;Muy buena / Oso ona;12;Muy buena / Oso ona;45;65;1012,2;0;307,8;22;0,09;Buena / Ona
23/05/2017;1;14;47;Muy buena / Oso ona;16;20;Muy buena / Oso ona;9;Muy buena / Oso ona;308;66;1017;0;286,2;18,1;0,58;Muy buena / Oso ona
22/05/2017;4;14;58;Buena / Ona;20;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;331;70;1011,9;0;276,6;18,2;1,09;Buena / Ona
21/05/2017;1;13;23;Muy buena / Oso ona;14;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;110;51;1008,6;0;227,3;21,8;1,48;Muy buena / Oso ona
20/05/2017;1;16;34;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;40;66;1017,8;0;259;15,3;0,46;Muy buena / Oso ona
19/05/2017;6;19;46;Muy buena / Oso ona;29;16;Muy buena / Oso ona;6;Muy buena / Oso ona;318;70;1015,8;0;165,8;12,8;1,11;Muy buena / Oso ona
18/05/2017;1;13;39;Muy buena / Oso ona;15;12;Muy buena / Oso ona;3;Muy buena / Oso ona;311;79;1012,8;0,2;147,8;13,5;1,57;Muy buena / Oso ona
17/05/2017;6;25;52;Buena / Ona;34;22;Muy buena / Oso ona;13;Muy buena / Oso ona;345;80;1012,9;0;69,3;16,7;0,4;Buena / Ona
16/05/2017;10;28;51;Buena / Ona;43;25;Muy buena / Oso ona;14;Muy buena / Oso ona;301;66;1017,4;0;221,4;20,4;0,54;Buena / Ona
15/05/2017;6;27;49;Muy buena / Oso ona;35;20;Muy buena / Oso ona;10;Muy buena / Oso ona;301;58;1018,9;0;269,6;20,4;0,42;Muy buena / Oso ona
14/05/2017;1;15;43;Muy buena / Oso ona;17;13;Muy buena / Oso ona;6;Muy buena / Oso ona;139;57;1016;0;300,6;19,4;0,17;Muy buena / Oso ona
13/05/2017;0;11;34;Muy buena / Oso ona;12;11;Muy buena / Oso ona;6;Muy buena / Oso ona;51;66;1008,2;0;266,2;18;0,53;Muy buena / Oso ona
12/05/2017;0;9;20;Muy buena / Oso ona;10;10;Muy buena / Oso ona;4;Muy buena / Oso ona;206;57;997,5;0,1;94,9;18,3;1,74;Muy buena / Oso ona
11/05/2017;0;6;27;Muy buena / Oso ona;7;8;Muy buena / Oso ona;3;Muy buena / Oso ona;207;48;989,5;0;158,7;19,3;2,88;Muy buena / Oso ona
10/05/2017;7;25;60;Buena / Ona;35;29;Buena / Ona;16;Muy buena / Oso ona;250;70;993,3;0;240,8;18;0,56;Buena / Ona
09/05/2017;10;23;48;Muy buena / Oso ona;39;22;Muy buena / Oso ona;13;Muy buena / Oso ona;50;69;1002,6;0;212,4;16,2;0,49;Muy buena / Oso ona
08/05/2017;8;19;46;Muy buena / Oso ona;31;13;Muy buena / Oso ona;7;Muy buena / Oso ona;36;58;1013,4;0;257,9;15,6;0,41;Muy buena / Oso ona
07/05/2017;2;16;36;Muy buena / Oso ona;19;13;Muy buena / Oso ona;7;Muy buena / Oso ona;48;55;1015,9;0;292,9;16,8;0,51;Muy buena / Oso ona
06/05/2017;1;13;40;Muy buena / Oso ona;14;11;Muy buena / Oso ona;5;Muy buena / Oso ona;288;59;1010;0;313,1;16,1;0,44;Muy buena / Oso ona
05/05/2017;2;19;44;Muy buena / Oso ona;22;20;Muy buena / Oso ona;10;Muy buena / Oso ona;112;69;999,7;0;156,6;18,1;0,7;Muy buena / Oso ona
04/05/2017;7;21;49;Muy buena / Oso ona;31;19;Muy buena / Oso ona;9;Muy buena / Oso ona;62;68;1004,4;0;220,7;17;0,71;Muy buena / Oso ona
03/05/2017;3;20;36;Muy buena / Oso ona;25;21;Muy buena / Oso ona;11;Muy buena / Oso ona;290;74;1010,1;0;265,8;15,8;0,57;Muy buena / Oso ona
02/05/2017;17;26;60;Buena / Ona;52;18;Muy buena / Oso ona;9;Muy buena / Oso ona;330;77;1014,5;0;143,8;14,3;0,55;Buena / Ona
01/05/2017;2;18;47;Muy buena / Oso ona;21;13;Muy buena / Oso ona;5;Muy buena / Oso ona;5;64;1013,2;0;230,4;11,6;0,32;Muy buena / Oso ona
30/04/2017;;;;Sin datos / Daturik gabe;11;12;Muy buena / Oso ona;6;Muy buena / Oso ona;207;62;1001,3;0,1;57,7;12,5;1,83;Muy buena / Oso ona
29/04/2017;5;22;48;Muy buena / Oso ona;24;15;Muy buena / Oso ona;8;Muy buena / Oso ona;144;54;1002,2;0;256,6;14,9;2,33;Muy buena / Oso ona
28/04/2017;15;32;66;Buena / Ona;53;19;Muy buena / Oso ona;11;Muy buena / Oso ona;54;66;1012,8;0;229,4;9,2;0,78;Buena / Ona
27/04/2017;9;29;61;Buena / Ona;43;12;Muy buena / Oso ona;6;Muy buena / Oso ona;338;71;1013,5;0;182,2;7,5;0,48;Buena / Ona
26/04/2017;;;;Sin datos / Daturik gabe;25;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;327;82;1009,8;0,2;82,3;7,7;0,4;Muy buena / Oso ona
25/04/2017;6;30;67;Buena / Ona;38;20;Muy buena / Oso ona;11;Muy buena / Oso ona;330;86;1004,3;0,1;38,8;12,4;0,38;Buena / Ona
24/04/2017;16;33;67;Buena / Ona;56;26;Buena / Ona;13;Muy buena / Oso ona;296;68;1007,6;0;277,5;14,7;0,86;Buena / Ona
23/04/2017;3;37;70;Buena / Ona;42;26;Buena / Ona;14;Muy buena / Oso ona;298;63;1011,5;0;297,1;15,1;0,65;Buena / Ona
22/04/2017;1;24;56;Buena / Ona;25;19;Muy buena / Oso ona;10;Muy buena / Oso ona;287;44;1014,1;0;295,6;17,7;0,32;Buena / Ona
21/04/2017;9;34;62;Buena / Ona;47;22;Muy buena / Oso ona;11;Muy buena / Oso ona;81;49;1017,4;0;296,6;14,7;0,88;Buena / Ona
20/04/2017;10;27;73;Buena / Ona;39;16;Muy buena / Oso ona;7;Muy buena / Oso ona;59;47;1019,3;0;302,6;12;1,16;Buena / Ona
19/04/2017;6;25;74;Buena / Ona;34;15;Muy buena / Oso ona;6;Muy buena / Oso ona;50;49;1018,4;0;295,2;12,3;1,02;Buena / Ona
18/04/2017;12;27;57;Buena / Ona;45;20;Muy buena / Oso ona;10;Muy buena / Oso ona;18;69;1016,3;0;190,5;13,4;0,49;Buena / Ona
17/04/2017;5;19;48;Muy buena / Oso ona;26;18;Muy buena / Oso ona;8;Muy buena / Oso ona;21;67;1014,7;0;279,3;14,6;0,42;Muy buena / Oso ona
16/04/2017;4;14;25;Muy buena / Oso ona;20;12;Muy buena / Oso ona;6;Muy buena / Oso ona;59;70;1018,3;0;219,8;13,7;0,58;Muy buena / Oso ona
15/04/2017;4;17;36;Muy buena / Oso ona;23;18;Muy buena / Oso ona;10;Muy buena / Oso ona;319;72;1017,9;0;163,7;14,5;0,71;Muy buena / Oso ona
14/04/2017;4;17;30;Muy buena / Oso ona;23;26;Buena / Ona;12;Muy buena / Oso ona;311;75;1014,9;0;63,1;14;0,3;Buena / Ona
13/04/2017;7;22;37;Muy buena / Oso ona;32;25;Muy buena / Oso ona;13;Muy buena / Oso ona;307;74;1012,6;0;271,3;13,7;0,63;Muy buena / Oso ona
12/04/2017;15;31;54;Buena / Ona;54;28;Buena / Ona;15;Muy buena / Oso ona;305;72;1015;0;272,4;13,9;0,6;Buena / Ona
11/04/2017;6;25;73;Buena / Ona;34;25;Muy buena / Oso ona;12;Muy buena / Oso ona;330;71;1019,5;0;188,1;14,6;0,49;Buena / Ona
10/04/2017;;;;Sin datos / Daturik gabe;17;30;Buena / Ona;23;Buena / Ona;328;79;1019,6;0;68,7;13,9;0,72;Buena / Ona
09/04/2017;;;;Sin datos / Daturik gabe;26;;Sin datos / Daturik gabe;17;Buena / Ona;303;71;1014,5;0;268,1;15,5;0,8;Buena / Ona
08/04/2017;4;32;61;Buena / Ona;41;22;Muy buena / Oso ona;14;Muy buena / Oso ona;232;57;1011;0;263,2;17,6;0,17;Buena / Ona
07/04/2017;17;37;78;Buena / Ona;62;32;Buena / Ona;14;Muy buena / Oso ona;311;72;1014,5;0;252,9;13,3;0,47;Buena / Ona
06/04/2017;7;26;68;Buena / Ona;30;28;Buena / Ona;10;Muy buena / Oso ona;323;76;1019,2;0;168,1;13,4;0,86;Buena / Ona
05/04/2017;;;;Sin datos / Daturik gabe;13;19;Muy buena / Oso ona;5;Muy buena / Oso ona;327;82;1021;0,1;78,3;12,6;0,98;Muy buena / Oso ona
04/04/2017;;;;Sin datos / Daturik gabe;23;15;Muy buena / Oso ona;7;Muy buena / Oso ona;317;79;1021,7;0;113,1;12,9;1,05;Muy buena / Oso ona
03/04/2017;16;26;54;Buena / Ona;43;17;Muy buena / Oso ona;7;Muy buena / Oso ona;337;72;1018,7;0;213,1;12,9;0,43;Buena / Ona
02/04/2017;;;;Sin datos / Daturik gabe;14;15;Muy buena / Oso ona;4;Muy buena / Oso ona;308;77;1018,3;0,1;150,2;11,3;1,38;Muy buena / Oso ona
01/04/2017;;;;Sin datos / Daturik gabe;13;14;Muy buena / Oso ona;4;Muy buena / Oso ona;298;78;1014,4;0,1;121,9;12;2,33;Muy buena / Oso ona
31/03/2017;12;25;82;Buena / Ona;44;22;Muy buena / Oso ona;11;Muy buena / Oso ona;272;71;1011,5;0,1;145,6;15,4;0,27;Buena / Ona
30/03/2017;2;22;70;Buena / Ona;25;17;Muy buena / Oso ona;9;Muy buena / Oso ona;156;44;1012,4;0;153;20,5;1,56;Buena / Ona
29/03/2017;11;52;97;Buena / Ona;69;22;Muy buena / Oso ona;12;Muy buena / Oso ona;91;53;1017;0;199,8;17,5;0,31;Buena / Ona
28/03/2017;4;31;86;Buena / Ona;38;18;Muy buena / Oso ona;8;Muy buena / Oso ona;205;55;1017,9;0;203,7;15,7;0,44;Buena / Ona
27/03/2017;1;18;67;Buena / Ona;19;11;Muy buena / Oso ona;6;Muy buena / Oso ona;163;52;1009,4;0;158,5;15,6;2,25;Buena / Ona
26/03/2017;0;7;11;Muy buena / Oso ona;7;9;Muy buena / Oso ona;3;Muy buena / Oso ona;136;56;1006,4;0;133,8;13,8;2,18;Muy buena / Oso ona
25/03/2017;1;16;56;Buena / Ona;17;8;Muy buena / Oso ona;5;Muy buena / Oso ona;182;86;1005,9;0,4;13,1;8,4;0,67;Buena / Ona
24/03/2017;14;33;70;Buena / Ona;55;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;44;61;1008,8;0;178,2;9,2;0,5;Buena / Ona
23/03/2017;7;27;72;Buena / Ona;38;11;Muy buena / Oso ona;5;Muy buena / Oso ona;202;58;1002,7;0;214,9;8,2;1,05;Buena / Ona
22/03/2017;2;23;46;Muy buena / Oso ona;26;12;Muy buena / Oso ona;6;Muy buena / Oso ona;232;79;1004,1;0,1;47,9;8,2;0,39;Muy buena / Oso ona
21/03/2017;4;34;62;Buena / Ona;40;18;Muy buena / Oso ona;10;Muy buena / Oso ona;350;84;1011,9;0,1;48,2;10,2;0,49;Buena / Ona
20/03/2017;1;21;59;Buena / Ona;22;21;Muy buena / Oso ona;15;Muy buena / Oso ona;28;72;1012,2;0;41,9;11,7;0,21;Buena / Ona
19/03/2017;5;17;43;Muy buena / Oso ona;23;18;Muy buena / Oso ona;10;Muy buena / Oso ona;334;74;1015,4;0;174,2;10,8;0,51;Muy buena / Oso ona
18/03/2017;2;19;53;Buena / Ona;21;22;Muy buena / Oso ona;11;Muy buena / Oso ona;14;70;1019;0;107,2;12,5;0,31;Buena / Ona
17/03/2017;7;20;61;Buena / Ona;31;34;Buena / Ona;16;Muy buena / Oso ona;325;76;1018,2;0;74,3;12,7;0,69;Buena / Ona
16/03/2017;4;29;72;Buena / Ona;34;22;Muy buena / Oso ona;13;Muy buena / Oso ona;144;52;1013,6;0;196,8;17,4;1,14;Buena / Ona
15/03/2017;15;38;73;Buena / Ona;60;38;Buena / Ona;14;Muy buena / Oso ona;327;78;1021,6;0;150,7;13,2;0,33;Buena / Ona
14/03/2017;7;22;55;Buena / Ona;32;28;Buena / Ona;9;Muy buena / Oso ona;324;81;1026,9;0;89,4;12,8;0,76;Buena / Ona
13/03/2017;1;8;15;Muy buena / Oso ona;9;18;Muy buena / Oso ona;4;Muy buena / Oso ona;322;85;1022,9;0,1;21,2;10,6;2,02;Muy buena / Oso ona
12/03/2017;0;6;15;Muy buena / Oso ona;7;17;Muy buena / Oso ona;4;Muy buena / Oso ona;307;76;1015,2;0,1;62,4;11,7;2,82;Muy buena / Oso ona
11/03/2017;9;34;89;Buena / Ona;48;26;Buena / Ona;15;Muy buena / Oso ona;327;66;1011,3;0;136,7;14,8;1,34;Buena / Ona
10/03/2017;46;58;106;Mejorable / Hobetzeko modukoa;128;39;Buena / Ona;23;Buena / Ona;9;68;1014,1;0;192,4;16,2;0,21;Mejorable / Hobetzeko modukoa
09/03/2017;8;30;81;Buena / Ona;43;24;Muy buena / Oso ona;12;Muy buena / Oso ona;29;75;1019,9;0;185,3;14,3;0,12;Buena / Ona
08/03/2017;10;21;68;Buena / Ona;36;15;Muy buena / Oso ona;6;Muy buena / Oso ona;13;75;1022;0;163,7;14,9;0,49;Buena / Ona
07/03/2017;11;32;67;Buena / Ona;48;24;Muy buena / Oso ona;9;Muy buena / Oso ona;328;83;1020,8;0;38,2;12,3;1,03;Buena / Ona
06/03/2017;2;19;62;Buena / Ona;21;27;Buena / Ona;6;Muy buena / Oso ona;279;69;1016,2;0;22,9;14,1;1,73;Buena / Ona
05/03/2017;1;17;83;Buena / Ona;19;18;Muy buena / Oso ona;7;Muy buena / Oso ona;211;69;1007,5;0;85;13,2;1,83;Buena / Ona
04/03/2017;1;18;55;Buena / Ona;20;22;Muy buena / Oso ona;7;Muy buena / Oso ona;247;62;998,9;0;126,9;9,2;1,33;Buena / Ona
03/03/2017;1;17;45;Muy buena / Oso ona;19;14;Muy buena / Oso ona;7;Muy buena / Oso ona;142;64;995,5;0,1;78;13,2;0,84;Muy buena / Oso ona
02/03/2017;28;40;72;Buena / Ona;82;20;Muy buena / Oso ona;12;Muy buena / Oso ona;112;66;1009,4;0;108,3;14;0,33;Buena / Ona
01/03/2017;15;42;86;Buena / Ona;64;17;Muy buena / Oso ona;9;Muy buena / Oso ona;196;67;1010,6;0;167,6;11,6;0,8;Buena / Ona
28/02/2017;2;25;60;Buena / Ona;27;15;Muy buena / Oso ona;6;Muy buena / Oso ona;258;76;1005,9;0,1;32;10;1,61;Buena / Ona
27/02/2017;5;26;53;Buena / Ona;34;19;Muy buena / Oso ona;8;Muy buena / Oso ona;223;67;1004,3;0;155,7;13,2;1,52;Buena / Ona
26/02/2017;10;32;71;Buena / Ona;47;21;Muy buena / Oso ona;12;Muy buena / Oso ona;351;72;1013,3;0;156,3;12,2;0,36;Buena / Ona
25/02/2017;12;39;82;Buena / Ona;57;20;Muy buena / Oso ona;11;Muy buena / Oso ona;87;70;1013,9;0;161,6;10;0,55;Buena / Ona
24/02/2017;8;31;86;Buena / Ona;43;15;Muy buena / Oso ona;7;Muy buena / Oso ona;335;80;1015;0;79,6;10,2;0,51;Buena / Ona
23/02/2017;12;33;60;Buena / Ona;51;45;Buena / Ona;25;Buena / Ona;347;81;1010,9;0;65,8;11,3;0,57;Buena / Ona
22/02/2017;22;40;59;Buena / Ona;73;32;Buena / Ona;20;Buena / Ona;16;80;1014,9;0;147,5;10,8;0,29;Buena / Ona
21/02/2017;19;41;69;Buena / Ona;69;21;Muy buena / Oso ona;16;Muy buena / Oso ona;58;77;1020,4;0;83,7;10,7;0,54;Buena / Ona
20/02/2017;27;42;93;Buena / Ona;83;24;Muy buena / Oso ona;15;Muy buena / Oso ona;353;74;1022,3;0;141;12;0,31;Buena / Ona
19/02/2017;4;23;67;Buena / Ona;29;18;Muy buena / Oso ona;11;Muy buena / Oso ona;324;82;1021,6;0;47,5;11,9;0,51;Buena / Ona
18/02/2017;17;34;61;Buena / Ona;59;24;Muy buena / Oso ona;15;Muy buena / Oso ona;329;81;1016,1;0;107,5;10,2;0,54;Buena / Ona
17/02/2017;39;54;84;Buena / Ona;113;28;Buena / Ona;17;Buena / Ona;8;73;1020,1;0;137,4;11,9;0,11;Buena / Ona
16/02/2017;22;44;89;Buena / Ona;77;21;Muy buena / Oso ona;12;Muy buena / Oso ona;186;61;1023,4;0;130;14,3;0,45;Buena / Ona
15/02/2017;2;24;71;Buena / Ona;26;13;Muy buena / Oso ona;7;Muy buena / Oso ona;151;50;1022,5;0;125,1;15,7;2,16;Buena / Ona
14/02/2017;7;28;66;Buena / Ona;38;12;Muy buena / Oso ona;6;Muy buena / Oso ona;133;57;1013,4;0;83,9;13,3;1,36;Buena / Ona
13/02/2017;6;20;74;Buena / Ona;29;18;Muy buena / Oso ona;8;Muy buena / Oso ona;129;62;999,1;0,4;75,2;14,1;4,5;Buena / Ona
12/02/2017;1;10;25;Muy buena / Oso ona;11;23;Muy buena / Oso ona;9;Muy buena / Oso ona;115;69;998;0;44,6;12,2;3,26;Muy buena / Oso ona
11/02/2017;18;33;60;Buena / Ona;61;32;Buena / Ona;18;Buena / Ona;50;81;1008;2,2;46,1;7,7;0,39;Buena / Ona
10/02/2017;10;36;80;Buena / Ona;51;15;Muy buena / Oso ona;9;Muy buena / Oso ona;116;49;1005;0;73,5;11,1;1,49;Buena / Ona
09/02/2017;11;40;66;Buena / Ona;56;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;96;71;1011,3;0,3;100,3;9,2;1,6;Buena / Ona
08/02/2017;3;25;80;Buena / Ona;30;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;310;76;1021,8;7,7;52,9;8,6;1,85;Buena / Ona
07/02/2017;8;32;77;Buena / Ona;45;17;Muy buena / Oso ona;7;Muy buena / Oso ona;300;84;1017;14,4;36,3;10,7;1,19;Buena / Ona
06/02/2017;14;36;64;Buena / Ona;58;16;Muy buena / Oso ona;9;Muy buena / Oso ona;122;86;1017,3;8,1;35,8;10,5;0,59;Buena / Ona
05/02/2017;0;6;11;Muy buena / Oso ona;6;14;Muy buena / Oso ona;4;Muy buena / Oso ona;278;68;1007,7;10,3;43,1;9,9;4,13;Muy buena / Oso ona
04/02/2017;1;15;43;Muy buena / Oso ona;17;13;Muy buena / Oso ona;5;Muy buena / Oso ona;249;79;1000,5;10;20,9;12,2;0,46;Muy buena / Oso ona
03/02/2017;0;6;15;Muy buena / Oso ona;6;11;Muy buena / Oso ona;5;Muy buena / Oso ona;215;42;999,6;0;59,9;15,7;4,72;Muy buena / Oso ona
02/02/2017;0;9;35;Muy buena / Oso ona;9;9;Muy buena / Oso ona;4;Muy buena / Oso ona;199;48;1000;0,1;43;15,6;4,28;Muy buena / Oso ona
01/02/2017;8;20;63;Buena / Ona;31;15;Muy buena / Oso ona;9;Muy buena / Oso ona;208;54;1005,7;0,4;64,1;15,8;2,42;Buena / Ona
31/01/2017;1;17;45;Muy buena / Oso ona;19;12;Muy buena / Oso ona;6;Muy buena / Oso ona;158;49;1006,8;0;78,3;16,5;2,25;Muy buena / Oso ona
30/01/2017;7;26;55;Buena / Ona;37;10;Muy buena / Oso ona;5;Muy buena / Oso ona;144;62;1010,7;0;54,9;15,9;1,17;Buena / Ona
29/01/2017;1;18;36;Muy buena / Oso ona;19;9;Muy buena / Oso ona;3;Muy buena / Oso ona;185;61;1013,4;0,2;71,5;13;0,86;Muy buena / Oso ona
28/01/2017;8;32;68;Buena / Ona;45;17;Muy buena / Oso ona;8;Muy buena / Oso ona;314;74;1013,8;0;85,5;8,9;0,14;Buena / Ona
27/01/2017;0;13;37;Muy buena / Oso ona;13;16;Muy buena / Oso ona;9;Muy buena / Oso ona;159;57;1001,6;0,1;41,8;11,3;3,15;Muy buena / Oso ona
26/01/2017;2;21;51;Buena / Ona;24;24;Muy buena / Oso ona;14;Muy buena / Oso ona;153;55;1004,6;0;93;8,4;3,45;Buena / Ona
25/01/2017;45;47;86;Buena / Ona;115;26;Buena / Ona;18;Buena / Ona;67;74;1016,1;0;122,7;4,9;0,44;Buena / Ona
24/01/2017;66;48;86;Buena / Ona;148;31;Buena / Ona;20;Buena / Ona;342;80;1020,5;0;87,8;5,4;0,3;Buena / Ona
23/01/2017;49;42;81;Buena / Ona;117;30;Buena / Ona;19;Buena / Ona;328;81;1017,4;0,2;78,1;7,7;0,56;Buena / Ona
22/01/2017;15;30;69;Buena / Ona;53;30;Buena / Ona;19;Buena / Ona;339;82;1015,5;0;74,7;7,3;0,39;Buena / Ona
21/01/2017;29;40;58;Buena / Ona;84;32;Buena / Ona;22;Buena / Ona;23;78;1015;0;104,2;5,2;0,28;Buena / Ona
20/01/2017;56;47;79;Buena / Ona;132;36;Buena / Ona;25;Buena / Ona;61;79;1017,2;0;105,4;;0,28;Buena / Ona
19/01/2017;24;37;66;Buena / Ona;74;25;Muy buena / Oso ona;15;Muy buena / Oso ona;80;76;1019,3;0;27,9;3,7;0,71;Buena / Ona
18/01/2017;18;29;73;Buena / Ona;57;17;Muy buena / Oso ona;10;Muy buena / Oso ona;36;71;1020,2;0;9;3;0,28;Buena / Ona
17/01/2017;12;16;73;Buena / Ona;34;10;Muy buena / Oso ona;3;Muy buena / Oso ona;17;63;1021,3;0,9;96,8;6,1;0,86;Buena / Ona
16/01/2017;1;6;13;Muy buena / Oso ona;7;10;Muy buena / Oso ona;2;Muy buena / Oso ona;318;91;1020,5;26;15,2;10,4;2,67;Muy buena / Oso ona
15/01/2017;0;5;16;Muy buena / Oso ona;5;10;Muy buena / Oso ona;2;Muy buena / Oso ona;317;80;1023,5;7,7;25,5;9,9;1,81;Muy buena / Oso ona
14/01/2017;1;16;48;Muy buena / Oso ona;17;11;Muy buena / Oso ona;5;Muy buena / Oso ona;308;82;1022,3;14,9;54,9;7,2;0,75;Muy buena / Oso ona
13/01/2017;1;12;33;Muy buena / Oso ona;13;15;Muy buena / Oso ona;5;Muy buena / Oso ona;308;75;1017,9;11,6;39,6;8,1;2,42;Muy buena / Oso ona
12/01/2017;15;28;49;Muy buena / Oso ona;51;19;Muy buena / Oso ona;9;Muy buena / Oso ona;315;88;1015,4;5,2;48,2;11,4;0,62;Muy buena / Oso ona
11/01/2017;1;15;36;Muy buena / Oso ona;16;8;Muy buena / Oso ona;2;Muy buena / Oso ona;312;97;1018,6;12,3;16,8;11,9;2,23;Muy buena / Oso ona
10/01/2017;4;17;44;Muy buena / Oso ona;23;16;Muy buena / Oso ona;7;Muy buena / Oso ona;321;94;1015,1;46,7;8,3;9,4;1,98;Muy buena / Oso ona
09/01/2017;57;49;83;Buena / Ona;135;24;Muy buena / Oso ona;18;Buena / Ona;71;75;1022,8;0;88,8;8,4;0,45;Buena / Ona
08/01/2017;23;38;62;Buena / Ona;73;24;Muy buena / Oso ona;18;Buena / Ona;31;70;1026,9;0;72,9;;0,2;Buena / Ona
07/01/2017;39;43;73;Buena / Ona;103;31;Buena / Ona;21;Buena / Ona;34;78;1026,9;0,1;95,2;;0,21;Buena / Ona
06/01/2017;31;37;58;Buena / Ona;84;25;Muy buena / Oso ona;17;Buena / Ona;46;79;1026,2;0;98,5;;0,29;Buena / Ona
05/01/2017;56;43;76;Buena / Ona;129;30;Buena / Ona;20;Buena / Ona;80;77;1024,4;0;94,1;4,4;0,53;Buena / Ona
04/01/2017;86;46;86;Buena / Ona;178;40;Buena / Ona;31;Buena / Ona;360;85;1021,8;0;66,6;5;0,17;Buena / Ona
03/01/2017;72;48;74;Buena / Ona;159;38;Buena / Ona;27;Buena / Ona;12;79;1018,7;0;83,4;5,7;0,22;Buena / Ona
02/01/2017;10;32;58;Buena / Ona;47;19;Muy buena / Oso ona;12;Muy buena / Oso ona;94;61;1014;0;62,4;7,3;1,52;Buena / Ona
01/01/2017;7;25;49;Muy buena / Oso ona;36;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;109;66;1017,2;0;89,4;5,5;1,06;Muy buena / Oso ona
