PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
6070995,Jardines Gregorio Ordóñez,"Jardines en memoria de Gregorio Ordóñez. Este cuidado jardín presenta dos amplias zonas infantiles, para diversión de los pequeños y posee un pequeño estanque en el centro del mismo rodeado de distintas especies de palmeras.",,,"Metro: Núñez de Balboa (líneas 5 y 9)  Bus: 1, 29, 52, 74",Conservación:  Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad    Superficie:  3.975  m 2        % Especies predominantes (nombre común) con respecto a especies principales:   Árboles.   N&ordm;  total de unidades arbóreas: 120 Ciruelo rojo 53% Plátano de sombra 20% Liquidambar 11% Cinamomo 9%  Arbustos.   N&ordm;  total de unidades arbustivas: 49 Palmito 78% Palmito de la China 22%  Macizos arbustivos.  Superficie de macizos arbustivos: 32  m 2    Rosas 50% Madroño 28%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2fba3c8f758ff210VgnVCM2000000c205a0aRCRD,PRINCIPE DE VERGARA,CALLE,V,68,,,,,MADRID,MADRID,28006,LISTA,SALAMANCA,442553,4476298,40.43346187,-3.678595478,,,,/contenido/entidadesYorganismos/ParquesJardines
5964519,"Jardines calles Raimundo Fernández Villaverde, Ponzano y Maudes","Jardín situado entre las calles Raimundo Fernández Villaverde, Ponzano y Maudes. Es una gran superficie de pradera dotada de áreas infantiles, equipamientos de entrenamiento para mayores y zonas estanciales. Se encuentra rodeado de árboles de sombra y de pequeños grupos de macizos arbustivos.",,Zonas infantiles  Zonas de mayores  Circuito Biosaludable,"Metro: Nuevos Ministerios (líneas 6, 8 y 10)  Bus: 5, 68, 149, C1, C2  RENFE: Nuevos Ministerios",Conservación : Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad.    Superficie:  5.606  m 2     % Especies predominantes (nombre común) con respecto a especies principales:   Árboles.   N&ordm;  total de unidades arbóreas: 135 Plátano de sombra 22% Aligustre del Japón 21% Ciruelo rojo 13% Castaño de Indias 10%  Arbustos.   N&ordm;  total de unidades arbustivas: 58 Evonimo 16% Pitosporo 14% Cotoneaster horizontal 10%  Macizos arbustivos.  Superficie de macizos arbustivos: 46  m 2   Junípero horizontal 50% Palmito 15% Rosa canina 13%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a1c51eadb333e210VgnVCM2000000c205a0aRCRD,RAIMUNDO FERNANDEZ VILLAVERDE,CALLE,V,32,,,,,MADRID,MADRID,28003,RIOS ROSAS,CHAMBERI,440836,4477718,40.44613327,-3.69896993,,,,/contenido/entidadesYorganismos/ParquesJardines
5896013,Jardines de El Buen Retiro,"Obras de recuperación de la  Rosaleda  de los Jardines del Buen Retiro:   Renovación de borduras de Boj.  Recuperación de los niveles de la zona de plantación de rosales.  Renovación del sistema de riego.   Debido a la realización de dichas obras, la Rosaleda permanecerá cerrada hasta mediados del mes de mayo de 2016.  Obras de recuperación del  Parterre  de los Jardines del Buen Retiro:   Renovación de borduras.  Renovación de césped.  Renovación del sistema de riego.   Como consecuencia de la realización de dichas obras, durante los meses de enero, febrero y marzo de 2016, el parterre alternará de forma parcial su apertura/cierre, en relación con la fase de ejecución en que se encuentre la obra.  Parque histórico creado en el siglo  XVII . Es la masa verde más importante del centro urbano, tanto por su extensión como por su riqueza vegetal. La diversidad en sus trazados corresponden con las intervenciones según las etapas históricas. Destacan el Parterre de estilo francés, el Estanque Grande, las Rías y Lagos artificiales, Campo Grande de estilo paisajista donde se ubican los Palacios de Velázquez y Cristal, los jardines de Cecilio Rodríguez y la Rosaleda, característico por sus cipreses recortados, setos de boj y pérgolas, los jardines de los Planteles formados por cuadros de bosquetes delimitados por setos y el Bosque del Recuerdo.   Otras denominaciones:  Parque del Retiro. El Retiro","Horario del parque:     Primavera y verano (de abril a septiembre): desde las 6 hasta las 24 h.   Otoño e invierno (de octubre a marzo): desde las 6 hasta las 22 h.     Horario de las áreas caninas:     Desde las 7:30 hasta el cierre del parque.   Para labores puntuales de mantenimiento o reparaciones, se cerrará parcialmente el área, permitiendo el paso por una de las dos puertas a la zona que quede libre de la actuación. Se instalarán carteles para informar de estos periodos de cierre parcial del espacio con 24 h de antelación a su comienzo.","Zonas infantiles:   Zona del Pinar (Puerta del Ángel Caído)  Campanillas Bajas (Puerta de España)  Povar (Puerta de la Independencia)  Hernani (Puerta de la Independencia)  Plaza de Galicia (Puerta de Madrid)  Plaza Sevilla (Puerta de América Española)  Florida Park (Puerta de Reina Mercedes)  Antigua Junta de Distrito (Puerta de Sainz  Baranda)  Jardines de Herrero Palacios  Campo Grande  La Cabaña (Puerta de Mariano de Cavia)  Paseo Coches, a la altura del Instituto Meteorológico   Zonas de mayores:   Paseo Coches, a la altura de Puerta de América Española  Paseo Coches, a la altura del Instituto Meteorológico   Zonas caninas:   Entrada por Puerta de Mariano de Cavia   Instalaciones deportivas:   El Pinar (Puerta del Ángel Caído)  Huerto Francés (Puerta del Ángel Caído)   Puntos de información ambiental:   Acceso por   C/   O&acute;Donnell , 1.  Acceso por la Puerta del Niño Jesús.   C/  Alfonso  XII , junto a instalaciones deportivas.   Otros:   P: Viveros de Estufas - Plaza del Ángel Caído  Q: Teatro de Títeres, entrada por Plaza de la Independencia  R: Embarcadero, entrada por Plaza de la Independencia  S: Casita de la Cabaña, entrada por Puerta de Mariano de Cavia","Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha. Renfe (línea 1)  Bus: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C",Conservación:  Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad    Superficie:  1.180.000  m 2        % Especies predominantes (nombre común) con respecto a especies principales:   Árboles.   N&ordm;  total de unidades arbóreas: 19.859 Platano de sombra 4% Pino piñonero 3%  Arbustos.   N&ordm;  total de unidadesarbustivas: 7.922 Madroño 3% Lauro 5% Durillo 16%  Macizos arbustivos.  Superficie de macizos arbustivos: 27.450  m 2   Rosal 13% Abelia 15% Enebro 5%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=499561945d9ec210VgnVCM2000000c205a0aRCRD,INDEPENDENCIA,PLAZA,V,7,,,,,MADRID,MADRID,28001,LOS JERONIMOS,RETIRO,441749,4474770,40.41964087,-3.687933709,915 744 024 (taquillas embarcadero) / 915 280 938 (Vivero de Estufas. Visitas guiadas previa cita) / 915 300 041 (Centro de Información y Educación Ambiental) ,,,/contenido/entidadesYorganismos/ParquesJardines/ParquesHistoricos
5965620,Jardines de Perón,Jardines situados en la avenida General Perón entre las calles Orense y Reina Mercedes con grandes superficies de pradera y arbustos. Tiene zonas estanciales e infantiles y un área canina.,,Zonas infantiles   Zonas caninas  Instalaciones deportivas,"Metro: Santiago Bernabéu (línea 10)  Bus: 3, 5, 43, 149",Conservación:  Dirección General de Gestión del Agua yZonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad    Superficie.  18.605  m 2     % Especies predominantes (nombre común)   con respecto a especies principales:   Árboles.   N&ordm;  total de unidades arbóreas: 529 Plátano de sombra 33% Álamo blanco 16% Pino carrasco 9% Cedro llorón 7%  Arbustos.   N&ordm;  total de unidades arbustivas: 68 Glicinia 54% Piracanta 18% Hiedra 16%  Macizos arbustivos.  Superficie de macizos arbustivos: 3.275  m 2    Laurentino 30% Adelfa 19% Pitosporo 17%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=73f370530083e210VgnVCM1000000b205a0aRCRD,GENERAL PERON,AVENIDA,V,21,,,,,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,441112,4478431,40.45257591,-3.695781755,,,,/contenido/entidadesYorganismos/ParquesJardines
6010175,Jardines de Sabatini,"Los Jardines de Sabatini se encuentran situados frente a la fachada norte del Palacio Real, entre la calle de Bailén y la Cuesta de San Vicente, en una terraza colgada sobre el Campo del Moro. Se trata de un jardín de estilo neoclásico acorde con el palacio. Se accede al jardín desde dos puntos: la  c/  Bailén, cerca del palacio, a través de una escalera de doble trazado que debe salvar una altura de casi 20 metros desde la que domina la terraza inferior, y las entradas de la zona norte por las que se accede a las otras dos terrazas.  El jardín se divide en tres terrazas: la inferior, marcada por la simetría de los parterres a ambos lados de una gran lámina de agua a modo de espejo con dos surtidores, y enmarcada por cuatro cuadros con sendas fuentes rodeadas por figuras de seto;  la segunda, que forma un impresionante balcón sobre la primera, en donde se domina la totalidad de la fachada norte del Palacio y que bajo un bosque de pinos se extiende hacia la Cuesta de San Vicente, en donde se encuentra una nueva escalera de doble entrada que salva el desnivel hasta la calle; y la tercera, en una altura superior y al este de la segunda terraza, con un juego de parterres y grandes cedros.",Está abierto al público todos los días del año. No cierra al medio día.         Invierno (de octubre a abril): de 9 a 21 horas.        Verano (de mayo a septiembre): de 9 a 22 horas.,,,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=20baf389ed2ee210VgnVCM1000000b205a0aRCRD,BAILEN,CALLE,V,2,,,,,MADRID,MADRID,28013,PALACIO,CENTRO,439607,4474817,40.41991129,-3.713185309,,,,/contenido/entidadesYorganismos/ParquesJardines
5965246,Jardines de San Fernando,"Jardines ubicados alrededor de la Parroquia de San Fernando, delimitados por la avenida de Alberto Alcocer, las calles Doctor Fleming, Juan Hurtado de Mendoza y Juan Ramón Jiménez. Dispone de superficies de césped, macizos arbustivos, dos zonas infantiles y zonas estanciales. Destacan los ejemplares de ciprés de gran valor ornamental. En el parque hay un monumento dedicado a la Infancia.",,Zonas infantiles,"Metro: Cuzco (línea 10)  Bús: 5, 11, 40, 140, 150",Conservación:  Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad    Superficie:  11.971  m 2     % Especies predominantes (nombre común) con respecto a especies principales:    Árboles.   N&ordm;  total de unidades arbóreas: 126 Plátano de sombra 22% Ciprés común 17% Ciprés de Arizona 17% Cedro del Atlas 13%  Arbustos.   N&ordm;  total de unidades arbustivas: 17 Adelfas 29% Forsitia 24% Espirea del Japón 24%  Macizos arbustivos.  Superficie de macizos arbustivos: 649  m 2   Junípero 34% Griñolera 23% Cotoneaster horizontal 7%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e6e121dcd33e210VgnVCM1000000b205a0aRCRD,ALBERTO ALCOCER,AVENIDA,V,9,,,,,MADRID,MADRID,28036,NUEVA ESPAÑA,CHAMARTIN,441833,4479226,40.45978849,-3.687352342,,,,/contenido/entidadesYorganismos/ParquesJardines
5965967,Jardines de la Basílica,Situados frente a la Basílica Hispanoamericana de la Merced y junto al colegio Patrocinio de San José. Zona principalmente pavimentada aunque tiene también gran superficie de pradera; se caracteriza por sus amplias zonas estacionales.,,,"Metro: Nuevos Ministerios (líneas 6, 8 y 10)  RENFE: Nuevos Ministerios  Bus: 5 , 69 y 149",Conservación:  Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad.    Superficie:  2.410  m 2     % Especies predominantes (nombre común)   con respecto a especies principales:   Árboles.   N&ordm;  total de unidades arbóreas: 45 Ciruelo rojo 42% Plátano de sombra 31% Manzano japonés 18% Cedro llorón 9%  Arbustos.   N&ordm;  total de unidades arbustivas: 3 Ciruelo rojo 100%  Macizos arbustivos.  Superficie de macizos arbustivos: 181  m 2    Kerria 53% Fotinia 47%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=58df433bf683e210VgnVCM1000000b205a0aRCRD,BASILICA,CALLE,V,15,,,,,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,441123,4478038,40.44903638,-3.695615531,,,,/contenido/entidadesYorganismos/ParquesJardines
5965719,Jardines de la Organización Mundial del Turismo,"Son pequeñas zonas ajardinadas que se ubican a lo largo de la Avenida de Brasil.  Estos jardines están compuestos por grandes superficies de pradera y arbolado de sombra. Están dotados de zonas estanciales, áreas infantiles, zonas caninas y espacios peatonales con pérgolas.  Dentro de estos jardines se encuentran los Jardines de la Organización Mundial del Turismo con una placa informativa y una fuente ornamental.",,Zonas infantiles,"Bus: 5, 126, 149",Conservación:  Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad.    Superficie:  16.955  m 2     Especies predominantes (nombre común) con respecto a especies principales: Árboles.   N&ordm;  total de unidades arbóreas: 444 Ciruelo rojo 15% Castaño de Indias 12% Plátano de sombra11% Ciprés de Arizona 8%  Arbustos.   N&ordm;  total de unidades arbustivas: 81   Hiedra 27% Laurel cerezo 15% Madroño 14%  Macizos arbustivos.  Superficie total de macizos arbustivos: 7.562  m2   Pitosporo 17% Adelfa 12% Laurentino 12%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d398680e2383e210VgnVCM1000000b205a0aRCRD,BRASIL,AVENIDA,V,31,,,,,MADRID,MADRID,28020,CASTILLEJOS,TETUAN,441314,4479110,40.45870695,-3.693462557,,,,/contenido/entidadesYorganismos/ParquesJardines
5964911,Jardines de la Plaza Conde del Valle de Suchil,"Plaza rectangular pavimentada con macizos de arbustos y dotada con dos áreas infantiles, área canina y fuente ornamental.",,Zonas infantiles  Zonas caninas,"Metro: San Bernardo (líneas 2 y 4)  Bus: 16, 21, 61",Conservación:  Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad.    Superficie.  5.233  m 2     % Especies predominantes (nombre común) con respecto a especies principales: Árboles.   N&ordm;  total de unidades arbóreas: 156 Olmo de Siberia 58 Plátano de sombra 25 Almez 7 Magnolio 6  Arbustos.   N&ordm;  total de unidades arbustivas: 31 Yuka 23% Rosa canina 23% Laurel 19%  Macizos arbustivos.  Superficie de macizos arbustivos: 1.438  m 2   Pitosporo 59% Rosa canina 14% Laurel cerezo 9%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7c3042197833e210VgnVCM2000000c205a0aRCRD,RODRIGUEZ SAN PEDRO,CALLE,V,3,,B,,,MADRID,MADRID,28015,ARAPILES,CHAMBERI,440187,4476085,40.43137597,-3.706468501,,,,/contenido/entidadesYorganismos/ParquesJardines
5963489,Jardines de la Plaza de Chamberí,"Plaza pavimentada situada junto a la Junta del Distrito en la que podemos encontrar área infantil, fuente ornamental y kiosco.",,Zonas Infantiles,"Metro: Iglesia (línea 1)  Bus: 3, 40 y 147",Conservación:  Dirección General Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad    Superficie:  2.650  m 2     % Especies Predominantes (nombre común) con respecto a especies principales: Árboles.   N&ordm;  total de unidades arbóreas: 60 Plátano de sombra 58% Tilo de hojas grandes 27% Arce 15%  Arbustos.   N&ordm;  total de unidades arbustivas: 33 Laurentino 21% Abelia 15% Evonimo 12%  Macizos arbustivos.  Superficie total de macizos arbustivos: 162  m 2   Rosa canina 50% Piracanta 36% Junípero horizontal 14%,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d3d6ee4002e2e210VgnVCM2000000c205a0aRCRD,CHAMBERI,PLAZA,V,1,,,,,MADRID,MADRID,28010,ALMAGRO,CHAMBERI,440941,4476243,40.43285329,-3.697594476,,,,/contenido/entidadesYorganismos/ParquesJardines
