 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA
10444961;10 y 11. Ximena y Sergio;;1;1;V,S,D;;2017-09-08 00:00:00.0;2018-02-25 23:59:00.0;0:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f58782706346d510VgnVCM2000001f4a900aRCRD;10 y 11. Ximena y Sergio;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=62f582706346d510VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD;Naves Matadero. Centro Internacional Artes Vivas;440934;4471754;4.039.241.374.953.320;-3.697.247.685.884.220;ARGANZUELA;/contenido/actividades/Exposiciones;
10580978;A nadie se le dio veneno en risa;;1;0;;;2018-01-20 00:00:00.0;2018-01-20 23:59:00.0;19:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=053e3cf88a970610VgnVCM2000001f4a900aRCRD;A nadie se le dio veneno en risa;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec1e3cf88a970610VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD;Centro Cultural Carril del Conde (Hortaleza);444625;4479327;4.046.088.953.531.130;-36.544.210.187.969.400;HORTALEZA;/contenido/actividades/CircoPerformanceTeatro;
10585909;Abanico Musical, Mayores con Arte;;1;0;;;2018-01-24 00:00:00.0;2018-01-24 23:59:00.0;18:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a4109236b06b0610VgnVCM1000001d4a900aRCRD;Actividades en el Centro Cultural Lope de Vega;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=839ef10f88f6e510VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD;Centro Cultural Lope de Vega (Puente de Vallecas);443084;4471058;40.386.293.684.801.800;-36.718.658.006.661.900;PUENTE DE VALLECAS;/contenido/actividades/Musica;
10498703;Actividades extraescolares en el distrito de Usera;;0;1;L,M,X,J,V,S,D;;2017-09-26 00:00:00.0;2018-07-01 23:59:00.0;0:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cfdf259bcecbe510VgnVCM1000001d4a900aRCRD;Actividades extraescolares en el distrito de Usera;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca0f259bcecbe510VgnVCM1000001d4a900aRCRD;;;;;;;;/contenido/actividades/ActividadesEscolares;/usuario/Niños
10578973;Adictos a las Teclas;;1;0;;;2018-01-27 00:00:00.0;2018-01-27 23:59:00.0;12:00;Música Clásica. La Escuela de Música,  Adictos a las Teclas , presenta,    Concierto de piano a cargo de los alumnos de la Escuela de Música Adictos a las Teclas.;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=320ea7cc9c370610VgnVCM2000001f4a900aRCRD;Programa de actividades en el Centro Cultural José Luis Sampedro (Latina);http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=044239c8e2993510VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD;Centro Cultural José Luis Sampedro (Latina);436542;4472809;4.040.159.394.334.660;-3.749.110.841.406.560;LATINA;/contenido/actividades/Musica;
10591671;Adrian Crowley + Nadine Khouri;;1;0;;;2018-02-07 00:00:00.0;2018-02-07 23:59:00.0;20:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b733a0fc5fd0610VgnVCM2000001f4a900aRCRD;Adrian Crowley + Nadine Khouri;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=73133a0fc5fd0610VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD;Centro Cultural Galileo (Chamberí);439851;4476347;4.043.371.190.964.790;-37.104.543.597.957.700;CHAMBERI;/contenido/actividades/1ciudad21distritos;
10575574;Aires del sur;;1;0;;;2018-02-23 00:00:00.0;2018-02-23 23:59:00.0;19:00;DANZA    Compañía:  Sol y luna.  Cuadro flamenco de reciente creación en el que se puede disfrutar del arte y el sentimiento  a través de cada nota musical, cante y baile en forma de distintos palos del flamenco como bulerías, alegrías, soleas, sevillanas, tangos, etc.  Nuestro cuadro está compuesto por artistas  con amplia trayectoria fuera y dentro de España   Todos los públicos.    Duración : 1 hora.;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fabffd36ff960610VgnVCM1000001d4a900aRCRD;Actividades Centro Cultural Príncipe de Asturias. Febrero 2018.;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=72910cd7d0550610VgnVCM1000001d4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d1ca1e79ee71c010VgnVCM1000000b205a0aRCRD;Centro Cultural Príncipe de Asturias (Ciudad Lineal);446058;4476602;40.436.444.648.624.800;-36.373.000.672.722.600;CIUDAD LINEAL;/contenido/actividades/DanzaBaile;
10595433;Ajusta tu guitarra y bajo eléctrico;;1;0;;;2018-02-06 00:00:00.0;2018-02-06 23:59:00.0;19:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e7c9be52949f0610VgnVCM2000001f4a900aRCRD;Ajusta tu guitarra y bajo eléctrico;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1c19be52949f0610VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD;Biblioteca Pública Municipal Ángel González (Latina);435063;4472320;40.397.074.625.115.900;-37.664.885.474.841.500;LATINA;/contenido/actividades/CursosTalleres;
10596026;Ajusta tu guitarra y bajo eléctrico;;1;0;;;2018-02-13 00:00:00.0;2018-02-13 23:59:00.0;19:00;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=48f90f83d2ef0610VgnVCM2000001f4a900aRCRD;Ajusta tu guitarra y bajo eléctrico;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1c19be52949f0610VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD;Biblioteca Pública Municipal Ángel González (Latina);435063;4472320;40.397.074.625.115.900;-37.664.885.474.841.500;LATINA;/contenido/actividades/CursosTalleres;
10536325;Al otro lado de los sueños;;1;1;L,M,X,J,V;;2017-12-21 00:00:00.0;2018-01-24 23:59:00.0;8:30;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=db8ea3efb0d7f510VgnVCM2000001f4a900aRCRD;Al otro lado de los sueños;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=636ea3efb0d7f510VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD;Biblioteca Pública Municipal Conde Duque (Centro);439833;4475645;4.042.738.668.300.470;-37.105.999.955.473.600;CENTRO;/contenido/actividades/Exposiciones;
