Date;Hour;D.vien (grados);H (%);Precipitación (l/m2);Tº (ºC);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;133;86;0;11,1;1,98
29/10/2017;06:00;129;86;0;11;2,25
29/10/2017;05:00;132;86;0;10,7;2,58
29/10/2017;04:00;132;86;0;10,7;2,07
29/10/2017;03:00;133;85;0;11;1,95
29/10/2017;02:00;129;84;0;11,4;2,65
29/10/2017;01:00;130;83;0;11,9;2,1
28/10/2017;24:00;134;81;0;12,6;1,81
28/10/2017;23:00;127;77;0;13,5;1,54
28/10/2017;22:00;298;73;0;14,3;0,37
28/10/2017;21:00;284;70;0;15,2;1,07
28/10/2017;20:00;335;67;0;16,1;0,52
28/10/2017;19:00;29;67;0;16,5;0,45
28/10/2017;18:00;58;67;0;16,7;1,06
28/10/2017;17:00;58;71;0;17,4;1,7
28/10/2017;16:00;41;70;0;18,4;1,53
28/10/2017;15:00;25;70;0;18,3;2,1
28/10/2017;14:00;14;69;0;18,7;1,45
28/10/2017;13:00;8;75;0;18,5;0,97
28/10/2017;12:00;331;81;0;17,9;2,38
28/10/2017;11:00;311;84;0;17,4;2,95
28/10/2017;10:00;306;85;0;17,2;1,37
28/10/2017;09:00;299;85;0;17,1;0,19
28/10/2017;08:00;340;87;0;16,2;0,19
28/10/2017;07:00;290;87;0;16,1;0,88
28/10/2017;06:00;296;86;0;16,3;1,03
28/10/2017;05:00;308;83;0;16,5;1,38
28/10/2017;04:00;331;81;0;16,8;1,42
28/10/2017;03:00;334;80;0;16,9;2,65
28/10/2017;02:00;307;79;0;17,1;2,84
28/10/2017;01:00;314;80;0;17,1;2,51
27/10/2017;24:00;312;79;0;17,2;2,17
27/10/2017;23:00;322;81;0;17,1;2,06
27/10/2017;22:00;326;84;0;17,1;2,75
27/10/2017;21:00;314;86;0;17,1;1,95
27/10/2017;20:00;329;86;0;17,4;2,03
27/10/2017;19:00;312;85;0;17,9;3,3
27/10/2017;18:00;318;83;0;18,2;3,52
27/10/2017;17:00;319;82;0;18,4;3,39
27/10/2017;16:00;306;80;0;18,6;4,08
27/10/2017;15:00;310;79;0;18,9;3,79
27/10/2017;14:00;308;74;0;19,5;4,15
27/10/2017;13:00;313;68;0;20,1;2,64
27/10/2017;12:00;327;70;0;19,3;0,28
27/10/2017;11:00;124;75;0;16,9;1
27/10/2017;10:00;121;80;0;14,6;1,82
27/10/2017;09:00;130;83;0;13,5;1,85
27/10/2017;08:00;134;84;0;12,8;1,99
27/10/2017;07:00;129;84;0;12,6;2,1
27/10/2017;06:00;126;84;0;12,7;1,77
27/10/2017;05:00;135;84;0;12,9;1,52
27/10/2017;04:00;130;84;0;12,9;2,59
27/10/2017;03:00;128;83;0;13,2;2,65
27/10/2017;02:00;127;82;0;13,7;2,35
27/10/2017;01:00;131;81;0;14,3;2,65
26/10/2017;24:00;129;79;0;15;1,98
26/10/2017;23:00;133;77;0;15,8;1,75
26/10/2017;22:00;131;75;0;16,5;1,48
26/10/2017;21:00;130;72;0;17,4;1,58
26/10/2017;20:00;140;69;0;18,3;1,26
26/10/2017;19:00;169;67;0;19,3;0,15
26/10/2017;18:00;301;65;0;20,1;1,54
26/10/2017;17:00;316;59;0;21,3;2,74
26/10/2017;16:00;308;55;0;22,1;4,27
26/10/2017;15:00;308;54;0;22,6;3,84
26/10/2017;14:00;318;54;0;22,4;5,68
26/10/2017;13:00;313;56;0;22,3;3,91
26/10/2017;12:00;303;57;0;21,4;3,79
26/10/2017;11:00;290;67;0;20,4;3,34
26/10/2017;10:00;292;72;0;19,2;3,4
26/10/2017;09:00;294;63;0;19,6;3,36
26/10/2017;08:00;107;47;0;20,1;0,93
26/10/2017;07:00;116;47;0;19,8;0,92
26/10/2017;06:00;137;57;0;18,1;0,54
26/10/2017;05:00;125;63;0;16,8;1,64
26/10/2017;04:00;133;62;0;17,2;1,9
26/10/2017;03:00;133;65;0;17,1;1,75
26/10/2017;02:00;133;67;0;16,8;2,01
26/10/2017;01:00;133;69;0;16,9;2,06
25/10/2017;24:00;141;70;0;16,9;1,19
25/10/2017;23:00;137;73;0;17,3;1,56
25/10/2017;22:00;136;77;0;16,8;1,78
25/10/2017;21:00;136;76;0;17,2;2,41
25/10/2017;20:00;143;74;0;17,9;1,95
25/10/2017;19:00;165;72;0;18,4;0,63
25/10/2017;18:00;294;69;0;19,2;1,29
25/10/2017;17:00;300;62;0;20,2;2,69
25/10/2017;16:00;304;57;0;21,1;3,48
25/10/2017;15:00;307;54;0;21,5;4,39
25/10/2017;14:00;296;46;0;24;4,49
25/10/2017;13:00;282;37;0;26,2;1,19
25/10/2017;12:00;119;42;0;23,9;0,93
25/10/2017;11:00;137;54;0;20,7;0,76
25/10/2017;10:00;133;65;0;16,7;1,67
25/10/2017;09:00;126;74;0;13,9;2,39
25/10/2017;08:00;130;78;0;12,6;2,33
25/10/2017;07:00;134;80;0;12,1;1,97
25/10/2017;06:00;140;80;0;12,2;2,49
25/10/2017;05:00;132;79;0;12,6;2,39
25/10/2017;04:00;144;80;0;12,8;1,76
25/10/2017;03:00;145;79;0;13,1;1,95
25/10/2017;02:00;136;79;0;13,4;2,91
25/10/2017;01:00;131;78;0;13,8;2,66
24/10/2017;24:00;125;77;0;14,2;2,49
24/10/2017;23:00;133;75;0;15;2,52
24/10/2017;22:00;130;72;0;15,8;2,66
24/10/2017;21:00;136;69;0;16,9;2,03
24/10/2017;20:00;151;68;0;17,6;0,81
24/10/2017;19:00;268;66;0;18,8;0,42
24/10/2017;18:00;301;58;0;19,7;1,38
24/10/2017;17:00;317;53;0;21,9;2,62
24/10/2017;16:00;307;46;0;24,7;4,77
24/10/2017;15:00;149;32;0;28,2;1,87
24/10/2017;14:00;140;34;0;27,6;1,47
24/10/2017;13:00;140;37;0;25,7;1,27
24/10/2017;12:00;126;40;0;22,5;2
24/10/2017;11:00;129;44;0;19,4;2,92
24/10/2017;10:00;128;54;0;16,3;2,61
24/10/2017;09:00;125;64;0;12,9;2,89
24/10/2017;08:00;126;71;0;11;3,32
24/10/2017;07:00;124;76;0;9,9;2,97
24/10/2017;06:00;127;77;0;10;2,62
24/10/2017;05:00;131;79;0;10,1;3,01
24/10/2017;04:00;127;80;0;10,4;2,7
24/10/2017;03:00;124;80;0;10,6;2,74
24/10/2017;02:00;126;80;0;11;2,91
24/10/2017;01:00;125;79;0;11,6;2,63
23/10/2017;24:00;126;78;0;12,2;2,51
23/10/2017;23:00;125;75;0;12,9;2,21
23/10/2017;22:00;132;72;0;13,9;2,01
23/10/2017;21:00;134;69;0;14,8;1,64
23/10/2017;20:00;142;65;0;15,8;0,92
23/10/2017;19:00;152;61;0;16,8;0,8
23/10/2017;18:00;264;59;0;18;0,52
23/10/2017;17:00;299;53;0;19,4;1,96
23/10/2017;16:00;319;52;0;19,7;3,64
23/10/2017;15:00;306;53;0;20,2;3,49
23/10/2017;14:00;315;49;0;20,9;3,5
23/10/2017;13:00;312;47;0;21,1;1,41
23/10/2017;12:00;104;56;0;19,4;0,4
23/10/2017;11:00;133;66;0;16,3;1,47
23/10/2017;10:00;118;73;0;13,7;2,72
23/10/2017;09:00;116;81;0;11,8;2,76
23/10/2017;08:00;121;86;0;10,4;2,41
23/10/2017;07:00;116;88;0;9,8;1,83
23/10/2017;06:00;123;88;0;9,9;2,15
23/10/2017;05:00;127;88;0;10,2;1,87
23/10/2017;04:00;125;88;0;10,4;2,03
23/10/2017;03:00;122;88;0;10,7;2,24
23/10/2017;02:00;122;87;0;11,2;1,92
23/10/2017;01:00;127;86;0;11,9;1,42
22/10/2017;24:00;135;84;0;12,7;1,19
22/10/2017;23:00;126;83;0;13,5;1,21
22/10/2017;22:00;150;82;0;14;1,12
22/10/2017;21:00;129;80;0;14,6;1,6
22/10/2017;20:00;127;75;0;15,4;0,95
22/10/2017;19:00;285;73;0;15,5;0,75
22/10/2017;18:00;260;73;0;15,5;0,88
22/10/2017;17:00;304;72;0;15,7;2,72
22/10/2017;16:00;296;70;0;16;1,45
22/10/2017;15:00;331;70;0;15,8;0,75
22/10/2017;14:00;330;69;0;15,5;2
22/10/2017;13:00;290;69;0;15,8;3,34
22/10/2017;12:00;216;75;0;15,9;1,1
22/10/2017;11:00;204;81;0;14,3;0,91
22/10/2017;10:00;267;82;0;13,8;1,09
22/10/2017;09:00;274;82;0,1;13,5;0,57
22/10/2017;08:00;280;74;0,2;13,9;1,64
22/10/2017;07:00;235;73;0;14;0,8
22/10/2017;06:00;291;76;0;14,1;1,09
22/10/2017;05:00;327;75;0;14;0,69
22/10/2017;04:00;285;74;0;13,9;3,04
22/10/2017;03:00;297;68;0;14,7;3,42
22/10/2017;02:00;276;66;0;15,1;1,33
22/10/2017;01:00;262;66;0;15,2;1,74
21/10/2017;24:00;290;66;0;15,4;3,88
21/10/2017;23:00;287;62;0;16;3,9
21/10/2017;22:00;280;61;0;16,2;2,6
21/10/2017;21:00;280;61;0;16,4;3,32
21/10/2017;20:00;286;60;0;16,6;3,99
21/10/2017;19:00;287;59;0;16,8;4,09
21/10/2017;18:00;287;57;0;17;4,02
21/10/2017;17:00;298;62;0;17,1;5,15
21/10/2017;16:00;306;58;0;17,7;6,94
21/10/2017;15:00;311;62;0;17,5;6,55
21/10/2017;14:00;316;63;0;17,6;6,04
21/10/2017;13:00;318;59;0;18,2;7,42
21/10/2017;12:00;301;51;0;18,8;5,38
21/10/2017;11:00;292;71;0;17,5;1,13
21/10/2017;10:00;149;73;0;16,8;1,24
21/10/2017;09:00;269;74;0;16,5;0,21
21/10/2017;08:00;285;78;0;15,6;2,38
21/10/2017;07:00;293;83;0;15,7;4,84
21/10/2017;06:00;306;82;0,1;16,6;5,38
21/10/2017;05:00;308;77;0;17,7;7,15
21/10/2017;04:00;306;81;0;18;5,6
21/10/2017;03:00;325;79;0;18,7;6,69
21/10/2017;02:00;316;64;0;21,9;6,58
21/10/2017;01:00;199;51;0;24,8;2,3
20/10/2017;24:00;189;50;0;25,1;3,3
20/10/2017;23:00;182;49;0;25,1;6,12
20/10/2017;22:00;165;44;0;24,7;4,15
20/10/2017;21:00;169;39;0;25,2;4,65
20/10/2017;20:00;143;44;0;23,6;2,05
20/10/2017;19:00;118;53;0;22,4;1,23
20/10/2017;18:00;215;59;0;22;0,19
20/10/2017;17:00;280;54;0;23,3;1,93
20/10/2017;16:00;287;51;0;23,9;2,95
20/10/2017;15:00;293;51;0;23,6;3,37
20/10/2017;14:00;286;45;0;24,9;2,74
20/10/2017;13:00;204;44;0;24,9;1,42
20/10/2017;12:00;250;47;0;23,8;1,24
20/10/2017;11:00;34;56;0;22,1;0,5
20/10/2017;10:00;133;65;0;18,9;1,62
20/10/2017;09:00;121;68;0;17,4;1,3
20/10/2017;08:00;118;68;0;16,7;1,45
20/10/2017;07:00;124;67;0;16,8;1,35
20/10/2017;06:00;132;66;0;16,9;1,5
20/10/2017;05:00;146;65;0;17,1;1,28
20/10/2017;04:00;150;63;0;17,4;1,34
20/10/2017;03:00;138;61;0;17,7;1,37
20/10/2017;02:00;122;60;0;17,8;1,47
20/10/2017;01:00;140;57;0;18,4;1,4
19/10/2017;24:00;170;51;0;19,3;1,16
19/10/2017;23:00;170;52;0;19,1;1,21
19/10/2017;22:00;122;55;0;18,5;0,87
19/10/2017;21:00;123;58;0;18;2,22
19/10/2017;20:00;126;60;0;17,9;2,07
19/10/2017;19:00;130;57;0;18,8;1,56
19/10/2017;18:00;145;49;0;20,3;1,13
19/10/2017;17:00;169;43;0;21,8;1,38
19/10/2017;16:00;136;45;0;22,1;2,28
19/10/2017;15:00;151;45;0;22;2,15
19/10/2017;14:00;156;48;0;21,9;1,77
19/10/2017;13:00;121;53;0;20,8;2,08
19/10/2017;12:00;123;58;0;19,5;3,41
19/10/2017;11:00;135;65;0;18,6;1,2
19/10/2017;10:00;150;76;0;16,8;1,1
19/10/2017;09:00;106;83;0;15;1,07
19/10/2017;08:00;123;87;0;13,7;1,91
19/10/2017;07:00;125;88;0;13,5;1,39
19/10/2017;06:00;127;88;0;13,7;2,06
19/10/2017;05:00;141;87;0;14,1;1,38
19/10/2017;04:00;120;87;0;14,1;1,79
19/10/2017;03:00;122;87;0;14,2;1,52
19/10/2017;02:00;148;86;0;14,4;1,01
19/10/2017;01:00;165;87;0;14,3;1,36
18/10/2017;24:00;143;87;0;14,5;0,44
18/10/2017;23:00;175;87;0,2;14,4;1,08
18/10/2017;22:00;178;87;0,3;14,9;1,16
18/10/2017;21:00;263;87;0,1;14,8;0,37
18/10/2017;20:00;310;86;0;14,9;1,71
18/10/2017;19:00;305;85;0,1;14,9;1,79
18/10/2017;18:00;308;79;0;15,8;5,02
18/10/2017;17:00;300;77;0;16,9;2,16
18/10/2017;16:00;282;80;0;16,6;1,07
18/10/2017;15:00;218;81;0;16,6;0,45
18/10/2017;14:00;133;80;0;16,4;1,58
18/10/2017;13:00;137;77;0;16,1;1,33
18/10/2017;12:00;131;71;0,4;16,8;0,99
18/10/2017;11:00;294;63;0,5;17,8;0,77
18/10/2017;10:00;316;62;0;18,5;0,44
18/10/2017;09:00;133;65;0;18,2;0,98
18/10/2017;08:00;146;66;0;17,8;1,52
18/10/2017;07:00;123;70;0;17,6;0,53
18/10/2017;06:00;117;76;0;17,5;1,02
18/10/2017;05:00;117;85;0;16,8;1,28
18/10/2017;04:00;109;88;0;16,9;0,65
18/10/2017;03:00;153;88;0;17,5;0,64
18/10/2017;02:00;138;88;0;17,8;0,36
