Date;Hour;Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);D.vien (grados);V.vien (m/s)
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;1,57;4,39;6,24;107;0,26
29/10/2017;06:00;1,87;4,31;6,08;115;0,4
29/10/2017;05:00;1,41;3,7;5,17;119;0,23
29/10/2017;04:00;1,01;3,56;5,75;113;0,31
29/10/2017;03:00;1,11;2,67;4,39;106;0,34
29/10/2017;02:00;1,36;2,53;3,59;121;0,4
29/10/2017;01:00;0,85;1,61;2,51;114;0,24
28/10/2017;24:00
28/10/2017;23:00;0,59;1,06;1,59;145;0,39
28/10/2017;22:00;0,67;1,32;1,88;149;0,4
28/10/2017;21:00;0,88;1,73;2,57;139;0,44
28/10/2017;20:00;0,79;1,47;1,86;148;0,45
28/10/2017;19:00;0,59;0,87;1,17;155;0,44
28/10/2017;18:00;0,62;1,02;1,17;100;0,39
28/10/2017;17:00;0,72;0,66;0,77;8;0,45
28/10/2017;16:00;0,66;0,56;0,57;9;0,42
28/10/2017;15:00;0,76;0,64;0,65;14;0,92
28/10/2017;14:00;0,72;0,85;0,64;14;1,17
28/10/2017;13:00;1,12;1,34;0,78;346;0,44
28/10/2017;12:00;0,99;1,6;0,96;334;0,91
28/10/2017;11:00;1,21;2,53;2,31;332;1,84
28/10/2017;10:00;1,19;2,22;2,66;324;0,43
28/10/2017;09:00;0,73;1,08;1,49;282;0,13
28/10/2017;08:00;0,66;1,1;1,49;195;0,19
28/10/2017;07:00;0,58;0,9;1,33;135;0,38
28/10/2017;06:00;0,5;0,4;0,63;121;0,45
28/10/2017;05:00;0,53;0,51;0,37;59;0,28
28/10/2017;04:00;0,46;0,53;0,37;355;0,45
28/10/2017;03:00;1,01;0,78;0,72;360;0,58
28/10/2017;02:00;0,86;0,83;0,71;340;0,91
28/10/2017;01:00;1,37;1,28;1,2;354;0,56
27/10/2017;24:00
27/10/2017;23:00;1,25;0,75;0,66;343;1,17
27/10/2017;22:00;0,69;0,78;0,72;338;1,16
27/10/2017;21:00;0,66;0,73;0,77;6;0,44
27/10/2017;20:00;0,7;0,99;0,81;5;0,71
27/10/2017;19:00;2,65;2,35;2,05;359;0,61
27/10/2017;18:00;1,89;1,42;1,44;336;2,23
27/10/2017;17:00;2,15;1,56;1,53;335;1,87
27/10/2017;16:00;2,3;1,66;1,75;333;1,66
27/10/2017;15:00;2,46;2,15;2,14;335;1,12
27/10/2017;14:00;2,91;3,95;3,81;331;2,05
27/10/2017;13:00;1,98;3,83;3,7;330;2,36
27/10/2017;12:00;2,37;7,39;6,76;315;0,12
27/10/2017;11:00;3,84;11,34;11,31;277;0,1
27/10/2017;10:00;3,91;10,29;9,88;51;0,27
27/10/2017;09:00;2,82;8,87;9,74;107;0,34
27/10/2017;08:00;2,29;6,63;8,91;107;0,2
27/10/2017;07:00;2,31;6,96;9;111;0,4
27/10/2017;06:00;1,95;6,13;7,22;113;0,45
27/10/2017;05:00;1,75;5,3;6,12;115;0,45
27/10/2017;04:00;1,39;3,76;6,04;110;0,42
27/10/2017;03:00;1,18;3,85;6,16;110;0,4
27/10/2017;02:00;1,19;4,3;7,12;112;0,4
27/10/2017;01:00;1,11;3,61;6,72;112;0,45
26/10/2017;24:00;1,07;4,25;7,09;141;0,46
26/10/2017;23:00;1,08;4,38;6,07;137;0,46
26/10/2017;22:00;0,9;3,47;4,58;139;0,44
26/10/2017;21:00;0,89;2,74;3,5;138;0,46
26/10/2017;20:00;1,05;2,77;3,47;147;0,45
26/10/2017;19:00;1,1;2,76;3,35;142;0,46
26/10/2017;18:00;1,13;2,6;2,27;131;0,44
26/10/2017;17:00;1,62;4,18;4,49;329;0,12
26/10/2017;16:00;1,89;1,93;1,88;334;0,76
26/10/2017;15:00;2,73;2,27;2,52;330;2,23
26/10/2017;14:00;2,56;2,15;2,5;332;2,9
26/10/2017;13:00;1,62;2,39;2,64;333;2,54
26/10/2017;12:00;3,35;5,01;5,32;331;1,05
26/10/2017;11:00;3,78;6,98;8,11;352;0,35
26/10/2017;10:00;2,69;4,84;5,98;86;0,4
26/10/2017;09:00;3,12;3,94;4,25;109;0,14
26/10/2017;08:00;2,23;2,7;4,6;325;0,51
26/10/2017;07:00;1,84;1,96;3,71;197;0,14
26/10/2017;06:00;1,55;1,52;2,08;123;0,71
26/10/2017;05:00;2,83;2,51;3,47;149;1,9
26/10/2017;04:00;2,1;2,93;3,76;77;0,74
26/10/2017;03:00;1,77;3,77;4,01;79;0,64
26/10/2017;02:00;2,13;5,35;5,76;90;0,27
26/10/2017;01:00;3,22;7,31;7,78;125;0,34
25/10/2017;24:00;3,18;8,91;9,07;139;0,58
25/10/2017;23:00;2,25;9,29;9,54;139;0,35
25/10/2017;22:00;2,57;11,31;10,07;126;0,37
25/10/2017;21:00;3,25;12,22;10,89;78;0,23
25/10/2017;20:00;2,41;8;7,69;100;0,3
25/10/2017;19:00;2,55;7,71;7,42;127;0,4
25/10/2017;18:00;2,39;6,75;4,88;165;0,42
25/10/2017;17:00;3,24;8,52;5,59;309;0,31
25/10/2017;16:00
25/10/2017;15:00
25/10/2017;14:00
25/10/2017;13:00;4,24;12,21;10,87;329;0,82
25/10/2017;12:00;3,37;10;9,93;56;0,25
25/10/2017;11:00;3,58;11,84;13,39;86;0,4
25/10/2017;10:00;5,28;11,91;15,04;93;0,45
25/10/2017;09:00;4,89;10,2;12,03;97;0,43
25/10/2017;08:00;3,43;7,79;10,23;124;0,45
25/10/2017;07:00;2,35;4,89;7,53;120;0,43
25/10/2017;06:00;2,72;5,75;8,26;97;0,42
25/10/2017;05:00;3,35;6,21;8,41;110;0,42
25/10/2017;04:00;3,73;6,12;8,23;97;0,33
25/10/2017;03:00;4,27;4,86;8,02;64;0,28
25/10/2017;02:00;3,32;4,25;7,15;107;0,44
25/10/2017;01:00;2,71;4,27;6,72;112;0,45
24/10/2017;24:00;1,8;4,46;6,73;107;0,44
24/10/2017;23:00;1,57;4,34;6,16;110;0,43
24/10/2017;22:00;1,61;5,09;5,84;111;0,58
24/10/2017;21:00;2,02;8,4;7,74;136;0,42
24/10/2017;20:00;1,98;6,6;7,29;130;0,46
24/10/2017;19:00;1,55;3;3,55;132;0,34
24/10/2017;18:00;1,23;2,64;2,64;82;0,14
24/10/2017;17:00;1,32;3,26;3,21;278;0,15
24/10/2017;16:00;1,97;5,03;4,45;339;0,67
24/10/2017;15:00;2,4;7,58;7,49;328;1,14
24/10/2017;14:00;1,44;9,63;10,18;47;0,25
24/10/2017;13:00;1,48;12,84;11,15;96;0,8
24/10/2017;12:00;1,68;16,49;12,94;105;1,14
24/10/2017;11:00;2,19;17,91;12,68;98;1,76
24/10/2017;10:00;3,82;12,84;13,67;105;1,99
24/10/2017;09:00;3,57;6,47;11,35;103;1,86
24/10/2017;08:00;3,33;3,4;10,29;106;1,84
24/10/2017;07:00;3,65;2,95;7,04;108;1,39
24/10/2017;06:00;2,32;2,1;4,27;105;1,34
24/10/2017;05:00;2,44;2,15;4,24;105;1,05
24/10/2017;04:00;2,56;2,11;4,25;105;1,25
24/10/2017;03:00;1,7;2,36;3,97;107;0,58
24/10/2017;02:00;2,96;3,24;4,9;110;0,46
24/10/2017;01:00;1,35;4,4;5,99;108;0,52
23/10/2017;24:00;1,51;5,01;5,39;112;0,5
23/10/2017;23:00;1,3;6,83;5,89;114;0,48
23/10/2017;22:00;1,14;4,54;6,89;122;0,43
23/10/2017;21:00;0,99;2,81;3,9;142;0,45
23/10/2017;20:00;1,14;3,36;4,1;137;0,42
23/10/2017;19:00;1,15;1,72;2,31;140;0,41
23/10/2017;18:00;0,93;1,13;1,6;146;0,43
23/10/2017;17:00;1,12;1,85;2,61;235;0,3
23/10/2017;16:00;1,46;2,69;3,58;319;0,95
23/10/2017;15:00;2,17;4,79;5,84;324;1,26
23/10/2017;14:00;1,5;3,32;4,84;327;1,75
23/10/2017;13:00;0,77;4,97;7,76;327;1,46
23/10/2017;12:00;0,85;5,8;7,92;93;0,39
23/10/2017;11:00;0,97;7,24;8,42;112;0,35
23/10/2017;10:00;1,15;5,57;7,83;101;0,36
23/10/2017;09:00;1,07;3,2;6,02;97;0,4
23/10/2017;08:00;0,91;2,38;4,84;130;0,38
23/10/2017;07:00;1,08;2,28;4,51;107;0,42
23/10/2017;06:00;0,66;1,15;2,47;103;0,41
23/10/2017;05:00;0,64;1,16;2,4;114;0,44
23/10/2017;04:00;0,51;1,22;2,64;114;0,51
23/10/2017;03:00;0,45;1,29;2,97;111;0,31
23/10/2017;02:00;0,51;1,38;3,07;123;0,36
23/10/2017;01:00;0,56;1,04;2,14;120;0,4
22/10/2017;24:00;0,51;0,74;1,36;144;0,39
22/10/2017;23:00;0,44;0,53;0,64;153;0,38
22/10/2017;22:00;0,52;0,79;1,02;157;0,39
22/10/2017;21:00;0,6;0,68;1,01;136;0,35
22/10/2017;20:00;0,59;0,51;0,69;138;0,37
22/10/2017;19:00;0,51;0,6;0,58;170;0,33
22/10/2017;18:00;1,05;0,95;1,29;264;0,48
22/10/2017;17:00;0,63;0,4;0,51;290;0,34
22/10/2017;16:00;0,86;0,53;0,88;238;0,6
22/10/2017;15:00;0,82;0,43;0,72;271;0,31
22/10/2017;14:00;0,51;0,32;0,37;262;0,35
22/10/2017;13:00;0,41;0,04;0,29;267;0,6
22/10/2017;12:00;0,41;0,11;0,31;244;1,26
22/10/2017;11:00;0,39;0,05;0,27;231;0,99
22/10/2017;10:00;0,38;0,03;0,29;233;0,96
22/10/2017;09:00;0,48;0,44;0,5;233;0,9
22/10/2017;08:00;0,34;0,04;0,21;249;0,77
22/10/2017;07:00;0,33;0,03;0,21;238;1,31
22/10/2017;06:00;0,33;0,04;0,21;260;1,71
22/10/2017;05:00;0,36;0,03;0,18;250;0,8
22/10/2017;04:00;0,46;0,24;0,36;253;0,97
22/10/2017;03:00;0,45;0,43;0,59;270;1,96
22/10/2017;02:00;0,52;0,26;0,48;272;1,89
22/10/2017;01:00;0,48;0,16;0,27;262;1,41
21/10/2017;24:00;0,54;0,48;0,41;260;1,54
21/10/2017;23:00;0,69;0,45;0,44;271;1,8
21/10/2017;22:00;0,57;0,5;0,52;253;1,46
21/10/2017;21:00;0,52;0,52;0,58;267;2,13
21/10/2017;20:00;0,52;0,68;0,94;266;1,98
21/10/2017;19:00;0,45;0,54;0,72;271;2,02
21/10/2017;18:00;0,52;0,76;0,86;279;2,14
21/10/2017;17:00;1,02;1,33;1,71;273;1,93
21/10/2017;16:00;0,66;0,99;1,25;305;2,58
21/10/2017;15:00;1,32;2,54;2,86;289;1,74
21/10/2017;14:00;1,63;3;3,51;310;1,89
21/10/2017;13:00;0,98;1,06;1,37;320;3,4
21/10/2017;12:00;0,5;0,61;0,8;284;1,67
21/10/2017;11:00;0,42;0,42;0,6;273;1,48
21/10/2017;10:00;0,41;0,52;0,83;253;1,52
21/10/2017;09:00;0,43;0,52;0,47;261;1,06
21/10/2017;08:00;0,38;0,52;0,39;247;0,47
21/10/2017;07:00;0,46;0,56;0,5;274;1,91
21/10/2017;06:00;0,68;0,79;0,86;276;1,57
21/10/2017;05:00;0,61;0,78;0,86;284;1,41
21/10/2017;04:00;0,79;1,1;1,19;280;1,45
21/10/2017;03:00;1,05;1,34;1,93;289;1,52
21/10/2017;02:00;0,8;0,75;0,93;311;2,65
21/10/2017;01:00;0,31;0,5;0,37;191;2,56
20/10/2017;24:00;0,31;0,41;0,49;194;4,14
20/10/2017;23:00;0,38;0,54;0,58;191;4,61
20/10/2017;22:00;0,41;0,77;0,67;188;4,81
20/10/2017;21:00;0,44;1,28;1,02;185;4,5
20/10/2017;20:00;1,12;4,48;4,72;187;4,08
20/10/2017;19:00;1,56;6,23;5,88;195;0,44
20/10/2017;18:00;1,1;4,4;4,68;131;0,31
20/10/2017;17:00;2,49;12,13;11,44;221;0,17
20/10/2017;16:00;2,51;10,51;9,55;319;0,48
20/10/2017;15:00;2,88;14,41;11,21;322;1,05
20/10/2017;14:00;3,48;20,13;13,7;324;1,94
20/10/2017;13:00;2,6;11,12;11,23;326;2
20/10/2017;12:00;2,19;2,01;3,47;329;1,25
20/10/2017;11:00;0,55;1,97;2,12;218;0,96
20/10/2017;10:00;1,57;8,3;9,93;188;1,53
20/10/2017;09:00;1,91;9,36;12,1;108;0,43
20/10/2017;08:00;0,7;1,4;2,59;109;0,39
20/10/2017;07:00;0,56;0,68;1,15;108;0,11
20/10/2017;06:00;0,41;0,11;0,35;216;0,12
20/10/2017;05:00;0,33;0,12;0,29;214;0,53
20/10/2017;04:00;0,37;0,14;0,31;221;0,87
20/10/2017;03:00;0,45;0,48;0,47;191;1,19
20/10/2017;02:00;0,52;0,5;0,76;153;0,83
20/10/2017;01:00;0,44;0,31;0,39;141;0,38
19/10/2017;24:00;0,41;0,37;0,41;224;1,1
19/10/2017;23:00;0,41;0,41;0,4;251;0,76
19/10/2017;22:00;0,43;0,74;0,56;208;2,19
19/10/2017;21:00;0,93;2,88;2,36;186;2,62
19/10/2017;20:00;2,01;5,73;5,92;168;1,09
19/10/2017;19:00;1,64;5,21;4,76;130;0,42
19/10/2017;18:00;1,04;3,37;2,96;70;0,22
19/10/2017;17:00;0,82;3,68;3,02;196;0,04
19/10/2017;16:00;0,48;0,49;0,47;258;0,17
19/10/2017;15:00;0,46;0,46;0,5;144;0,5
19/10/2017;14:00;0,48;0,44;0,48;166;0,87
19/10/2017;13:00;0,64;0,59;0,79;195;0,97
