Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA
29/10/2017;24:00
29/10/2017;23:00
29/10/2017;22:00
29/10/2017;21:00
29/10/2017;20:00
29/10/2017;19:00
29/10/2017;18:00
29/10/2017;17:00
29/10/2017;16:00
29/10/2017;15:00
29/10/2017;14:00
29/10/2017;13:00
29/10/2017;12:00
29/10/2017;11:00
29/10/2017;10:00
29/10/2017;09:00
29/10/2017;08:00
29/10/2017;07:00;0,23;"Muy buena / ";0,24;11;27;Muy buena / Oso ona;43;15;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;06:00;0,25;"Muy buena / ";0,26;21;26;Muy buena / Oso ona;58;14;Muy buena / Oso ona;8;Muy buena / Oso ona
29/10/2017;05:00;0,23;"Muy buena / ";0,28;14;22;Muy buena / Oso ona;44;13;Muy buena / Oso ona;9;Muy buena / Oso ona
29/10/2017;04:00;0,2;"Muy buena / ";0,29;6;20;Muy buena / Oso ona;29;14;Muy buena / Oso ona;11;Muy buena / Oso ona
29/10/2017;03:00;0,22;"Muy buena / ";0,32;14;24;Muy buena / Oso ona;45;15;Muy buena / Oso ona;18;Muy buena / Oso ona
29/10/2017;02:00;0,25;"Muy buena / ";0,34;11;25;Muy buena / Oso ona;42;14;Muy buena / Oso ona;14;Muy buena / Oso ona
29/10/2017;01:00;0,29;"Muy buena / ";0,36;14;32;Muy buena / Oso ona;53;19;Muy buena / Oso ona;13;Muy buena / Oso ona
28/10/2017;24:00;0,33;"Muy buena / ";0,37;19;34;Muy buena / Oso ona;64;16;Muy buena / Oso ona;12;Muy buena / Oso ona
28/10/2017;23:00;0,4;"Muy buena / ";0,37;28;40;Muy buena / Oso ona;82;18;Muy buena / Oso ona;11;Muy buena / Oso ona
28/10/2017;22:00;0,35;"Muy buena / ";0,36;21;46;Muy buena / Oso ona;77;19;Muy buena / Oso ona;15;Muy buena / Oso ona
28/10/2017;21:00;0,35;"Muy buena / ";0,35;16;46;Muy buena / Oso ona;70;14;Muy buena / Oso ona;13;Muy buena / Oso ona
28/10/2017;20:00;0,35;"Muy buena / ";0,35;14;50;Muy buena / Oso ona;72;14;Muy buena / Oso ona;7;Muy buena / Oso ona
28/10/2017;19:00;0,41;"Muy buena / ";0,34;21;43;Muy buena / Oso ona;75;20;Muy buena / Oso ona;13;Muy buena / Oso ona
28/10/2017;18:00;0,4;"Muy buena / ";0,35;27;41;Muy buena / Oso ona;81;12;Muy buena / Oso ona;12;Muy buena / Oso ona
28/10/2017;17:00;0,33;"Muy buena / ";0,37;19;32;Muy buena / Oso ona;61;15;Muy buena / Oso ona;11;Muy buena / Oso ona
28/10/2017;16:00;0,36;"Muy buena / ";0,4;16;28;Muy buena / Oso ona;52;19;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;15:00;0,32;"Muy buena / ";0,42;11;24;Muy buena / Oso ona;40;17;Muy buena / Oso ona;12;Muy buena / Oso ona
28/10/2017;14:00;0,31;"Muy buena / ";0,42;11;22;Muy buena / Oso ona;39;22;Muy buena / Oso ona;14;Muy buena / Oso ona
28/10/2017;13:00;0,34;"Muy buena / ";0,41;17;30;Muy buena / Oso ona;55;12;Muy buena / Oso ona;2;Muy buena / Oso ona
28/10/2017;12:00;0,3;"Muy buena / ";0,4;17;23;Muy buena / Oso ona;50;20;Muy buena / Oso ona;3;Muy buena / Oso ona
28/10/2017;11:00;0,48;"Muy buena / ";0,39;50;49;Muy buena / Oso ona;126;29;Muy buena / Oso ona;13;Muy buena / Oso ona
28/10/2017;10:00;0,54;"Muy buena / ";0,36;71;52;Muy buena / Oso ona;162;29;Muy buena / Oso ona;11;Muy buena / Oso ona
28/10/2017;09:00;0,54;"Muy buena / ";0,32;87;48;Muy buena / Oso ona;181;20;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;08:00;0,56;"Muy buena / ";0,28;68;38;Muy buena / Oso ona;142;14;Muy buena / Oso ona;10;Muy buena / Oso ona
28/10/2017;07:00;0,3;"Muy buena / ";0,24;18;28;Muy buena / Oso ona;56;13;Muy buena / Oso ona;8;Muy buena / Oso ona
28/10/2017;06:00;0,24;"Muy buena / ";0,23;10;23;Muy buena / Oso ona;37;12;Muy buena / Oso ona;9;Muy buena / Oso ona
28/10/2017;05:00;0,23;"Muy buena / ";0,22;5;15;Muy buena / Oso ona;23;13;Muy buena / Oso ona;13;Muy buena / Oso ona
28/10/2017;04:00;0,24;"Muy buena / ";0,23;5;18;Muy buena / Oso ona;25;13;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;03:00;0,22;"Muy buena / ";0,24;3;14;Muy buena / Oso ona;18;12;Muy buena / Oso ona;1;Muy buena / Oso ona
28/10/2017;02:00;0,22;"Muy buena / ";0,26;2;16;Muy buena / Oso ona;18;15;Muy buena / Oso ona;4;Muy buena / Oso ona
28/10/2017;01:00;0,24;"Muy buena / ";0,29;2;12;Muy buena / Oso ona;15;15;Muy buena / Oso ona;9;Muy buena / Oso ona
27/10/2017;24:00;0,22;"Muy buena / ";0,29;2;10;Muy buena / Oso ona;12;20;Muy buena / Oso ona;7;Muy buena / Oso ona
27/10/2017;23:00;0,21;"Muy buena / ";0,3;2;9;Muy buena / Oso ona;12;15;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;22:00;0,21;"Muy buena / ";0,32;5;11;Muy buena / Oso ona;18;7;Muy buena / Oso ona;4;Muy buena / Oso ona
27/10/2017;21:00;0,26;"Muy buena / ";0,36;6;20;Muy buena / Oso ona;30;9;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;20:00;0,33;"Muy buena / ";0,38;13;26;Muy buena / Oso ona;45;13;Muy buena / Oso ona;5;Muy buena / Oso ona
27/10/2017;19:00;0,39;"Muy buena / ";0,41;19;34;Muy buena / Oso ona;62;19;Muy buena / Oso ona;11;Muy buena / Oso ona
27/10/2017;18:00;0,36;"Muy buena / ";0,43;14;25;Muy buena / Oso ona;47;21;Muy buena / Oso ona;7;Muy buena / Oso ona
27/10/2017;17:00;0,3;"Muy buena / ";0,43;10;18;Muy buena / Oso ona;34;16;Muy buena / Oso ona;3;Muy buena / Oso ona
27/10/2017;16:00;0,33;"Muy buena / ";0,45;14;30;Muy buena / Oso ona;52;33;Muy buena / Oso ona;16;Muy buena / Oso ona
27/10/2017;15:00;0,41;"Muy buena / ";0,45;15;37;Muy buena / Oso ona;60;39;Muy buena / Oso ona;18;Muy buena / Oso ona
27/10/2017;14:00;0,49;"Muy buena / ";0,45;21;37;Muy buena / Oso ona;70;40;Muy buena / Oso ona;26;Buena / Ona
27/10/2017;13:00;0,47;"Muy buena / ";0,43;43;49;Muy buena / Oso ona;114;44;Buena / Ona;;Sin datos / Daturik gabe
27/10/2017;12:00;0,53;"Muy buena / ";0,4;56;53;Muy buena / Oso ona;140;33;Muy buena / Oso ona;11;Muy buena / Oso ona
27/10/2017;11:00;0,52;"Muy buena / ";0,36;67;53;Muy buena / Oso ona;156;30;Muy buena / Oso ona;0;Muy buena / Oso ona
27/10/2017;10:00;0,4;"Muy buena / ";0,33;42;48;Muy buena / Oso ona;111;32;Muy buena / Oso ona;12;Muy buena / Oso ona
27/10/2017;09:00;0,43;"Muy buena / ";0,3;46;54;Muy buena / Oso ona;125;25;Muy buena / Oso ona;13;Muy buena / Oso ona
27/10/2017;08:00;0,35;"Muy buena / ";0,28;35;52;Muy buena / Oso ona;106;24;Muy buena / Oso ona;14;Muy buena / Oso ona
27/10/2017;07:00;0,38;"Muy buena / ";0,27;43;57;Muy buena / Oso ona;123;21;Muy buena / Oso ona;12;Muy buena / Oso ona
27/10/2017;06:00;0,35;"Muy buena / ";0,27;31;49;Muy buena / Oso ona;97;18;Muy buena / Oso ona;8;Muy buena / Oso ona
27/10/2017;05:00;0,25;"Muy buena / ";0,28;16;38;Muy buena / Oso ona;62;19;Muy buena / Oso ona;10;Muy buena / Oso ona
27/10/2017;04:00;0,22;"Muy buena / ";0,34;11;28;Muy buena / Oso ona;45;19;Muy buena / Oso ona;11;Muy buena / Oso ona
27/10/2017;03:00;0,24;"Muy buena / ";0,4;6;31;Muy buena / Oso ona;40;18;Muy buena / Oso ona;14;Muy buena / Oso ona
27/10/2017;02:00;0,21;"Muy buena / ";0,46;5;25;Muy buena / Oso ona;34;16;Muy buena / Oso ona;12;Muy buena / Oso ona
27/10/2017;01:00;0,24;"Muy buena / ";0,5;6;26;Muy buena / Oso ona;35;20;Muy buena / Oso ona;9;Muy buena / Oso ona
26/10/2017;24:00;0,25;"Muy buena / ";0,53;8;26;Muy buena / Oso ona;38;23;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;23:00;0,4;"Muy buena / ";0,51;12;37;Muy buena / Oso ona;55;19;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;22:00;0,42;"Muy buena / ";0,52;17;43;Muy buena / Oso ona;70;22;Muy buena / Oso ona;14;Muy buena / Oso ona
26/10/2017;21:00;0,66;"Muy buena / ";0,53;48;59;Muy buena / Oso ona;133;27;Muy buena / Oso ona;15;Muy buena / Oso ona
26/10/2017;20:00;0,64;"Muy buena / ";0,51;43;58;Muy buena / Oso ona;124;35;Muy buena / Oso ona;19;Muy buena / Oso ona
26/10/2017;19:00;0,68;"Muy buena / ";0,48;50;61;Muy buena / Oso ona;137;44;Buena / Ona;23;Muy buena / Oso ona
26/10/2017;18:00;0,46;"Muy buena / ";0,45;23;38;Muy buena / Oso ona;73;53;Buena / Ona;25;Muy buena / Oso ona
26/10/2017;17:00;0,43;"Muy buena / ";0,44;8;28;Muy buena / Oso ona;39;44;Buena / Ona;19;Muy buena / Oso ona
26/10/2017;16:00;0,4;"Muy buena / ";0,45;8;24;Muy buena / Oso ona;36;35;Muy buena / Oso ona;14;Muy buena / Oso ona
26/10/2017;15:00;0,46;"Muy buena / ";0,47;10;26;Muy buena / Oso ona;40;38;Muy buena / Oso ona;13;Muy buena / Oso ona
26/10/2017;14:00;0,52;"Muy buena / ";0,47;9;24;Muy buena / Oso ona;38;43;Buena / Ona;17;Muy buena / Oso ona
26/10/2017;13:00;0,47;"Muy buena / ";0,47;12;23;Muy buena / Oso ona;41;42;Buena / Ona;18;Muy buena / Oso ona
26/10/2017;12:00;0,44;"Muy buena / ";0,45;14;23;Muy buena / Oso ona;44;45;Buena / Ona;19;Muy buena / Oso ona
26/10/2017;11:00;0,43;"Muy buena / ";0,42;19;26;Muy buena / Oso ona;55;25;Muy buena / Oso ona;3;Muy buena / Oso ona
26/10/2017;10:00;0,35;"Muy buena / ";0,4;33;53;Muy buena / Oso ona;104;27;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;09:00;0,52;"Muy buena / ";0,4;87;64;Muy buena / Oso ona;197;47;Buena / Ona;11;Muy buena / Oso ona
26/10/2017;08:00;0,58;"Muy buena / ";0,39;118;63;Muy buena / Oso ona;245;42;Buena / Ona;18;Muy buena / Oso ona
26/10/2017;07:00;;"Sin datos / ";;186;69;Muy buena / Oso ona;354;32;Muy buena / Oso ona;18;Muy buena / Oso ona
26/10/2017;06:00;0,55;"Muy buena / ";0,37;166;53;Muy buena / Oso ona;307;19;Muy buena / Oso ona;10;Muy buena / Oso ona
26/10/2017;05:00;0,35;"Muy buena / ";0,41;34;41;Muy buena / Oso ona;93;14;Muy buena / Oso ona;6;Muy buena / Oso ona
26/10/2017;04:00;0,31;"Muy buena / ";0,45;25;35;Muy buena / Oso ona;74;15;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;03:00;0,3;"Muy buena / ";0,51;17;32;Muy buena / Oso ona;58;21;Muy buena / Oso ona;13;Muy buena / Oso ona
26/10/2017;02:00;0,37;"Muy buena / ";0,55;55;31;Muy buena / Oso ona;115;25;Muy buena / Oso ona;11;Muy buena / Oso ona
26/10/2017;01:00;0,41;"Muy buena / ";0,58;57;36;Muy buena / Oso ona;124;22;Muy buena / Oso ona;11;Muy buena / Oso ona
25/10/2017;24:00;0,37;"Muy buena / ";0,61;28;42;Muy buena / Oso ona;85;20;Muy buena / Oso ona;7;Muy buena / Oso ona
25/10/2017;23:00;0,51;"Muy buena / ";0,6;34;46;Muy buena / Oso ona;97;21;Muy buena / Oso ona;8;Muy buena / Oso ona
25/10/2017;22:00;0,66;"Muy buena / ";0,6;43;49;Muy buena / Oso ona;114;31;Muy buena / Oso ona;11;Muy buena / Oso ona
25/10/2017;21:00;0,65;"Muy buena / ";0,57;61;56;Muy buena / Oso ona;149;33;Muy buena / Oso ona;14;Muy buena / Oso ona
25/10/2017;20:00;0,71;"Muy buena / ";0,56;65;68;Muy buena / Oso ona;167;28;Muy buena / Oso ona;12;Muy buena / Oso ona
25/10/2017;19:00;0,57;"Muy buena / ";0,53;25;57;Muy buena / Oso ona;95;50;Buena / Ona;27;Buena / Ona
25/10/2017;18:00;;"Sin datos / ";0,54;56;67;Muy buena / Oso ona;153;51;Buena / Ona;34;Buena / Ona
25/10/2017;17:00;0,46;"Muy buena / ";0,56;45;49;Muy buena / Oso ona;118;44;Buena / Ona;26;Buena / Ona
25/10/2017;16:00;0,55;"Muy buena / ";0,56;43;55;Muy buena / Oso ona;120;43;Buena / Ona;21;Muy buena / Oso ona
25/10/2017;15:00;0,48;"Muy buena / ";0,57;24;45;Muy buena / Oso ona;81;40;Muy buena / Oso ona;12;Muy buena / Oso ona
25/10/2017;14:00;0,43;"Muy buena / ";0,59;25;30;Muy buena / Oso ona;68;59;Buena / Ona;21;Muy buena / Oso ona
25/10/2017;13:00;0,61;"Muy buena / ";0,6;58;58;Muy buena / Oso ona;146;54;Buena / Ona;30;Buena / Ona
