NOMBRE,HORARIO,SERVICIO_RUTA,COMEDOR,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,ORIENTACION,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
Academia Darío Estudio,,false,false,"METRO: Santo Domingo, Plaza España BUS: 1 , 2 , 44 , 46 , 74 , 75 , 133 , 148 , 202",ENSEÑANZA: BACHILLERATO (Humanidades  y C. Sociales - Ciencias y Tecnología),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bfb1ff632081c010VgnVCM1000000b205a0aRCRD,GRAN VIA,CALLE,NUM,63,,28013,PALACIO,CENTRO,439895,4475101,4.042.249.057.800.170,-37.098.176.178.133.100,915 411 515 - 915 474 084,915 474 084,,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados, 
Academia J.E.A.,,false,false,"METRO: Alonso Martínez , Colón BUS: 3 , 7 , 21 , 37 , 40 , 149",ENSEÑANZA: Bachillerato (Humanidades y C. Sociales - Ciencias y Tecnología),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2beba5f17981c010VgnVCM1000000b205a0aRCRD,GENOVA,CALLE,NUM,14,,28004,JUSTICIA,CENTRO,441210,4475565,40.426.764.567.498.300,-3.694.372.189.804.810,913 080 384 - 913 086 911,913 080 384,,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados, 
"Altair, Colegio Internacional",,true,true,"METRO: Plaza de Castilla BUS: 5 , 27 , 47 , 49 , 66 , 67 , 70 , 80 , 124 , 129 , 134 , 135 , 147 , 149 , 150 , 229",ENSEÑANZA: Educación infantil - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7d277b503a71c010VgnVCM1000000b205a0aRCRD,JOAQUIN BAU,CALLE,NUM,4,,28036,NUEVA ESPAÑA,CHAMARTIN,441964,4479669,40.463.788.404.722.100,-3.685.847.945.340.210,913 451 168 - 913 596 368,913 507 016,secretaria@colegioaltair.com,/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados, 
Aula Municipal de Formación de Personas Adultas. Distrito Centro,"De lunes a jueves,  de 9 a 16 horas",false,false,"Metro : Embajadores. Lavapiés, Acacias     Bus : 34, 36, 41, 60, 119, 148, C1     Cercanías : Embajadores",Programas Formativos:    Español para inmigrantes,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=01d5046411ae6510VgnVCM2000001f4a900aRCRD,CASINO,CALLE,NUM,5,,28005,EMBAJADORES,CENTRO,440261,4473336,40.406.617.104.441.100,-3.705.325.667.737.950,91 539 63 10,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Aula Municipal de Formación de Personas Adultas. Distrito Chamberí,"De lunes a jueves:    mañanas de 10,15 a 12,15 horas   tardes de 15,15 a 17,15 horas y de 18 a 20 horas",false,false,"Bus: 3, 7, 21, 37, 40  Metro: Alonso Martínez",Programas Formativos:    Lectoescritura Matemáticas para la vida Español para inmigrantes,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8060c2f841e3210VgnVCM2000000c205a0aRCRD,ALMAGRO,CALLE,NUM,5,I.F.E. DEL GOBIERNO LOCAL DE MADRID,28010,ALMAGRO,CHAMBERI,441154,4475762,4.042.852.633.195.800,-3.695.038.704.917.710,917 001 548 - 917 001 552,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal,"Lunes y martes, de 9 a 14 horas",false,false,"Bus: 15 , 28 , 110 , 113 , 210",Programas Formativos:    Lectoescritura Matemáticas para la vida Español para inmigrantes,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe25821c3771c010VgnVCM1000000b205a0aRCRD,SANTA FELICIDAD,CALLE,NUM,39,EN CENTRO CULTURAL ELIPA,28017,VENTAS,CIUDAD LINEAL,444947,4475278,4.042.443.536.952.660,-3.650.283.533.159.240,914 055 312,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas,"De lunes a jueves, de 9 a 16 horas",false,false,"Bus: 4 , 48, 106, 140  Metro: Alsacia (L2)",Programas Formativos:    Lectoescritura Matemáticas para la vida,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4555821c3771c010VgnVCM1000000b205a0aRCRD,SAN ROMAN DEL VALLE,CALLE,NUM,8,EN CENTRO CULTURAL ANTONIO MACHADO,28037,ARCOS,SAN BLAS-CANILLEJAS,447358,4474793,40.420.231.627.534.900,-36.218.113.860.909.000,913 135 294,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arevalo,"De lunes a jueves   mañanas de 10,15  a 12,15 horas  tardes de 15,15 a 17,15 horas y de 18 a 20 horas",false,false,"Bus: 22 , 86 , 130 , 131",Programas Formativos:    Lectoescritura Matemáticas para la vida Español para inmigrantes,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=38c5821c3771c010VgnVCM1000000b205a0aRCRD,DOCTOR MARTIN AREVALO,CALLE,NUM,2,CENTRO CULTURAL ÁGATA,28021,SAN ANDRES,VILLAVERDE,439937,4466650,4.034.636.268.334.180,-3.708.524.395.897.370,917 109 300,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo,"De lunes a jueves   mañanas de 9 a 13,45 horas  tardes de 15,45 a 18 horas",false,false,"Metro : San Cristóbal   Bus : 59 , 79",Programas Formativos:    Lectoescritura Matemáticas para la vida Español para inmigrantes,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8ee5821c3771c010VgnVCM1000000b205a0aRCRD,PINAZO,PLAZA,NUM,9,,28021,SAN CRISTOBAL,VILLAVERDE,441384,4466229,4.034.268.217.960.560,-36.914.488.300.328.100,917 100 410,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Casa de Niños Arroyo Fresno,,false,false,"METRO: Lacoma  BUS: 49, 64, 83, 133",ENSEÑANZA: Educación infantil (Primer Ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4feb1a2b77e7f110VgnVCM1000000b205a0aRCRD,ISLAS CIES,CALLE,NUM,11,,28035,PEÑA GRANDE,FUENCARRAL-EL PARDO,439248,4481583,40.480.844.891.953.900,-37.180.653.144.183.000,917 308 460,917 308 460,,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
