"Projekt ID";Název;Kategorie;"Souøadnice z. délky";"Souøadnice z. šíøky";Adresa;Web;Cena;Stav;Cíl1;Cíl2;Cíl3;Cíl4;Cíl5;Lokace;Od;Do;"Nositel projektu";Popis
;"silnice I/42 Brno, VMO abovøeská I";"Silnice a ulice";49.2022819;16.5677219;abovøeská;https://www.rsd.cz/mapa/attachment/553e8a936d710d6b480c5f43/infoletak_s42-vmo-zabovreska_1457985242806.pdf;2139944000;"Pøíprava a realizace";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;abovøesky;10/2016;12/2021;"Øeditelství silnic a dálnic ÈR";"Projekt VMO abovøeská I lze rozdìlit na dvì hlavní èásti. Jednou je rozšíøení stávající komunikace ze dvou na celkovì ètyøi jízdní pruhy mezi úseky VMO MÚK Knínièská a MÚK Hlinky. Druhou èástí je pak odklon paralelnì vedoucí tramvajové tratì do nového tramvajového tunelu v délce 334m. Stavba dále zahrnuje vıstavbu nového úseku obsluné komunikace, úpravu stávající MÚK Knínièská vèetnì opravy stávajícího silnièního a tramvajového mostu. komunikace je lemována novou protihlukovou a protipovodòovou zdí. Dále dojde k vıstavbì lávek pro pìší a novıch pìších tras èi k rekonstrukci stávající tramvajové trati."
;"silnice I/42 Brno, VMO MÚK Dobrovského-Svitavská radiála";"Silnice a ulice";49.2205258;16.6036581;;https://www.rsd.cz/mapa/attachment/55a37ad32656a2a208e4b6f1/s42-muk-dobr-svitrad_1436777200749.pdf;830991374;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;"Královo Pole";06/2009;08/2012;"Øeditelství silnic a dálnic ÈR";"Náplní silnièní stavby I/42 Brno, VMO MÚK Dobrovského – Svitavská radiála byly jednosmìrné køiovatkové vìtve, které tvoøí podstatnou èást mimoúrovòové køiovatky (MÚK) VMO Dobrovského – Svitavská radiála. Kromì vìtví tvoøily rozhodující rozsah stavby mostní objekty s navazujícími zdmi. Celkem se jedná o 3 mostní konstrukce o délkách 217, 147 a 52 metrù. V rámci stavby bylo také postaveno pìt opìrnıch zdí délky 564 metrù, jedna zárubní zeï délky 163 metrù a dvì protihlukové stìny délky 354 metrù."
;"silnice I/42 Brno, VMO Dobrovského B";"Silnice a ulice";49.2187739;16.5921300;"Královopolskı tunel";https://www.rsd.cz/mapa/attachment/55a37bae3a974392080542c6/s42-vmo-dobrovskeho-b_1436777409521.pdf;10953860000;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;"Královo Pole";01/2006;12/2012;"Øeditelství silnic a dálnic ÈR";"Hlavní èást projektu tvoøí dva paralelní dvoupruhové raené tunely znaèené jako Královopolskı tunel I a II, dlouhé pøiblinì 1250 metrù. Tunel I je trasován v ose abovøeské a Dobrovského ulice a tunel II paralelnì asi šedesát metrù jinìji v ose Pešinovy ulice. Souèástí jsou také vıjezdy z tunelù v podobì mimoúrovòové køiovatky VMO abovøeská–Hradecká a Hradecká–Královopolská v abovøeskách a èást vìtví Dobrovského–Svitavská radiála pøímo souvisejících s pøedpolím tunelù v Královì Poli. Projekt obsahuje také 3 lávky pro pìší a protihluková opatøení."
;"Areál dopravní vıchovy";"Vzhled mìsta a veøejná prostranství";49.1880783;16.5692981;"Bauerova 322/7";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=131361;81422077;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;08/2014;08/2015;"STAREZ - SPORT, a.s.";"Pøedmìtem projektu je rozšíøení infrastruktury pro dopravnì vzdìlávací aktivity vybudováním multifunkèního areálu dopravní vıchovy pro obèany mìsta Brna s centrem vzdìlávání, osvìty, prevence a bezpeènosti ve mìstì Brnì. Základem dopravní vıchovy bude dopravní høištì se sítí stezek pro cyklisty a dopravním znaèením, kde je mono navodit øadu dopravních situací. Zároveò dojde k rekonstrukci budovy ""Zámeèku"", kterı bude slouit pro teoretickou èást vıukovıch programù dopravní vıchovy. Souèástí projektu je dále rozšíøení nabídky sportovních a volnoèasovıch aktivit vybudováním dráhy pro in-line, rekonstrukcí altánu, provedením sadovıch úprav a doplnìním mobiliáøe. Realizace stavebních prací bude probíhat v období srpen 2014 - èervenec 2015."
;"Úrazová nemocnice v Brnì - Oddìlení stálé chirurgické a úrazové sluby";"Strategické projekty mìsta Brna";49.1976861;16.6152753;"Ponávka 139/6";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=134003;60775903;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;12/2013;08/2015;"Úrazová nemocnice v Brnì";"Cílem projektu je vytvoøit Oddìlení stálé chirurgické a úrazové sluby (OSCHÚS), které bude k dispozici nejen obyvatelùm Brna, ale celého Jihomoravského kraje. Základní funkcí tohoto oddìlení je poskytnout rychlou a kvalifikovanou pomoc nemocnım s právì vzniklım zdravotním problémem v nepøetritém reimu. Pacienti z tohoto oddìlení budou po ošetøení buï propuštìni do domácí péèe, nebo budou ponecháni 24 hod. na expektaèním lùku na OSCHÚS, popø. pøedáni dle závanosti svého stavu do péèe dalších specialistù mimo OSCHÚS. Pracovištì OSCHÚS je prvním krokem ke zmìnì ÚN na specializovanou úrazovou a chirurgickou nemocnici. Ambicí projektu naopak není nahradit stávající Lékaøskou pohotovostní slubu (LPS) v Úrazové nemocnici ani konkurence traumacentra ve Fakultní nemocnici Brno (FNB). Nové oddìlení bude zaèlenìno do stávajícího areálu ÚN."
;"Zelnı trh";"Vzhled mìsta a veøejná prostranství";49.1923406;16.6088375;"Zelnı trh";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=129230;56490572;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;04/2014;05/2015;"Statutární mìsto Brno";"Pøedmìtem projektu je rekonstrukce námìstí Zelnı trh vèetnì pøilehlıch ulic. Rekonstruovaná plocha námìstí bude doplnìna o mobiliáø a veøejnou zeleò. Realizace stavebních prací bude probíhat v období duben 2014 - duben 2015."
;"Základní škola Otevøená";"Vzdìlání, vìda, vızkum a inovace";49.2089856;16.4883147;"Otevøená 986/20a";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=101773;139241364;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;ebìtín;01/2011;09/2012;"Statutární mìsto Brno";"Projekt øeší vybudování nového školského zaøízení s odpovídajícím technickım i technologickım zázemím pro vıuku dìtí základní školy prvého stupnì vèetnì rozšíøení nabídky mimoškolních aktivit a k nim nutného zázemí jak pro dìti, tak pro mláde a veøejnost mìstské èásti ebìtín se zamìøením na sport a další vzdìlávání. V souèasné dobì je provoz školy dislokován do tøí od sebe docházkovì vzdálenıch objektù vybudovanıch zaèátkem 20. století a ke sportovním i mimoškolním aktivitám je vyuíván sál spoleèenského domu, jako provizorní tìlocvièna a provizorní prostory pro aktivity zájmovıch kroukù, kterı ovšem nesplòuje øádné parametry jak pro tìlesnou vıchovu, tak i z hlediska poadavkù hygienickıch norem."
;"Revitalizace mìstskıch parkù, I. etapa";"Vzhled mìsta a veøejná prostranství";49.1949886;16.6014469;"Špilberk 210/1";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=56926;95243610;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;04/2010;10/2012;"Statutární mìsto Brno";"Tento projekt se zamìøuje na revitalizaci parkù NKP Špilberk vèetnì území tzv. Malého Špilberku, Studánka, IV. a V. terasy Kapucínskıch zahrad. Jejich kompletní rekonstrukcí získá Brno ucelenou souèást kvalitnì upraveného veøejného prostranství. Jedineènost tìchto parkovıch areálù vyplıvá ze sousedství národních kulturních památek Petrov a Špilberk, které dokonèením revitalizace parkù získají vıznamného partnera pro konkurenèní boj na poli cestovního ruchu. Prostøednictvím realizace projektu mìsto zvıší svou konkurenceschopnost, posílí svou image Brno-Zdravé mìsto, estetiku a kvalitu ivota. Rekonstrukcí dojde ke zvıšení pobytové pohody v bezprostøední návaznosti na centrum Brna a ke zvıšení atraktivity Mìstské památkové rezervace. Brno disponuje kompaktním mìstskım jádrem s kulturním, architektonickım a urbanistickım dìdictvím, jeho nedílnou souèástí jsou bezpochyby mìstské parky, které prolínají Mìstskou památkovou rezervaci a vytváøí tak ucelenı a unikátní prstenec parkù."
;"Obnova secesní památky - vila a ivot rodiny Löw Beerù";"Volnı èas";49.2060681;16.6135756;"Drobného 297/22";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=111484;55469930;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Sever;04/2013;09/2014;"Jihomoravskı kraj";"Projekt øeší obnovu kulturní památky (ÚSKP 41917/7-6987) secesní Löw-Beerovy vily v Brnì na ulici Drobného 22 èp.297 a její zpøístupnìní pro potøeby cestovního ruchu s nabídkou expozice o vıznamnıch památkách brnìnské architekury, zejména pak v autentické souvislosti s historií vily Tugendhat. Brno se vıraznì profiluje na tématu moderních architektonickıch památek, zejména z období funkcionalismu. Projekt pøispívá k rozšíøení nabídky v tomto segmentu, zvyšuje atraktivitu Brna jako cíle cestovního ruchu. Projekt je urèen pro široké spektrum návštìvníkù se zájmem o architekturu, ivotní styl a spoleènou historii rodiny Löw Beerù a Tugendhatovıch. Vıstupem projektu je vybudovaná muzejní expozice, knihovna s èítárnou, prostor pro vıstavy a zázemí pro návštìvníky vè. zázemí pro personál objektu. Realizace projektu spoèívá v provedení stavebních prací obnovy objektu a vybudování expozic a vybavení interiérù. Vznikne 18 novıch pracovních míst. Realizuje Jihomoravskı kraj."
;"Nákup nízkopodlaních velkokapacitních tramvají pro MHD v Brnì";"Hromadná doprava";49.1935233;16.6130581;"Novobranská 693/18";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=124791;463334384;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;11/2007;10/2015;"Dopravní podnik mìsta Brna,a.s.";"Pøedmìtem pøedkládaného projektu je nákup 10 novıch vysokokapacitních nízkopodlaních tramvají. Cílem projektu je dosáhnout zkvalitnìní tramvajové dopravy v Brnì, která tvoøí páteøní systém veøejné dopravy ve mìstì a okolí. Konkrétním cílem projektu je nákupem deseti novıch nízkopodlaních tramvají: - zvıšit komfort v cestování mìstskou hromadnou dopravou; - rozšíøit dostupnost cestování veøejnou dopravou osobám se sníenou schopností pohybu a orientace, rodièùm s dìtmi v koèárcích a seniorùm; - zefektivnit provoz (nízkopodlaní vozidla budou díky zkrácení èasu v zastávkách na svıch linkách obíhat rychleji); - sníit provozní náklady (napø. energie)."
;"Stáe ve firmách - vzdìlávání praxí";"Vzdìlání, vìda, vızkum a inovace";49.1966475;16.6168753;"Cejl 478/10";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=104557;57142052;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;06/2012;10/2014;"Fond dalšího vzdìlávání";"Zámìrem projektu je zavést inovativní zpùsob individuálního dalšího vzdìlávání pomocí stáí ve firmách. Stáe se tak stanou nástrojem pro zvıšení kvalifikace a získání praxe v oboru. Cílovou skupinou (CS) budou jednotlivci s trvalım pobytem v ÈR mimo hl. mìsto. Projekt tvoøí tyto hlavní pilíøe:  1. Vytvoøení Národního katalogu stáí (NKS): Tento katalog bude tvoøen dvìma pilíøi: a) Katalog šablon - nástroj pro efektivní poskytování stáí. Tento produkt bude vytvoøen zástupci realizaèního tımu s vyuitím odborníkù na oblast dalšího vzdìlávání, zástupcù zamìstnavatelù a odborníkù na jednotlivé obory.  b) Databáze poskytovatelù stáí - jde o jeden z nástrojù zajišujících udritelnost nastavovaného systému vzdìlávání formou stáí ve firmách. 2. Popularizace dalšího vzdìlávání formou stáí ve firmách. 3. Pilotní ovìøení nástrojù pro efektivní poskytování stáí. 4. Vydefinování nástrojù pro zavedení zpùsobu dalšího vzdìlávání formou stáí ve firmách do systému ÈR."
;"Excelentní mladí vìdci na VUT v Brnì";"Vzdìlání, vìda, vızkum a inovace";49.2015406;16.6036136;"Antonínská 548/1";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=104823;175072173;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;07/2012;06/2015;"Vysoké uèení technické v Brnì";"Hlavním cílem tohoto celouniverzitního projektu je podpoøit tvorbu excelentních tımù na VUT v Brnì zapojením novıch spolupracovníkù z jinıch institucí do èinnosti vızkumnıch a vıvojovıch tımù na postdoktorandskıch pozicích na VUT v Brnì s dùrazem na internacionalizaci, multidisciplinaritu, intersektorální mobilitu a spolupráci.  Vyuity a podpoøeny budou pøedevším synergie mezi jednotlivımi VaV tımy,které se pohybují v mezioborovém prostøedí 5 fakult a 1 VŠ ústavu VUT v Brnì. V prùbìhu realizace projektu budou do tìchto tımù pøijati na základì vıbìrovıch øízení noví ""postdoci"" a získají bohaté zkušenosti se zahranièním vızkumem a projekty mezinárodního vızkumu a vıvoje.Tito mladí vìdci se budou úèastnit zde i v zahranièí odbornıch vzdìlávacích akcí, souvisejících s tématy jejich vızkumné èinnosti. Své zkušenosti budou dále pøedávat ostatním èlenùm vızkumného tımu a dalším cílovım skupinám (pracovníci a studenti VŠ),kteøí tak budou mít monost rozvíjet své odborné znalosti a kompetence."
;"Zamìstnáním nejlepších mladıch vìdcù k rozvoji mezinárodní spolupráce";"Vzdìlání, vìda, vızkum a inovace";49.1988242;16.6052267;"erotínovo námìstí 617/9";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=109347;164495635;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;03/2013;09/2015;"Masarykova univerzita";"Cílem projektu je vytvoøení pracovních míst pro nedávno vystudované èeské a zahranièní absolventy doktorského studia ve vızkumnıch tımech na devíti fakultách Masarykovy univerzity a vızkumném pracovišti Støedoevropském technologickém institutu (CEITEC). Realizace projektu pøispìje k rozvoji zkušeností vızkumnıch pracovníkù, sdílení poznatkù mezi rùznımi vìdními obory, mobilitì vìdeckıch expertù a pøedevším zapojení do mezinárodních vızkumnıch tımù. Z projektu budou profitovat zamìstnaní absolventi doktorskıch programù, èlenové vızkumnıch tımù, akademiètí pracovníci a studenti bakaláøskıch, magisterskıch i doktorskıch studijních programù. Širším dopadem aktivit je podpora základního i aplikovaného vızkumu v Jihomoravském kraji. Vısledkem projektu bude 36 pracovních míst postdokù, uskuteènìní pracovních stáí, zintenzivnìní kontaktù se zahranièními pracovišti, tvorba kvalitních vızkumnıch vısledkù pod vedením zkušenıch mentorù a vyuèování studentù, akademickıch a vìdeckıch pracovníkù."
;"Zamìstnáním èerstvıch absolventù doktorského studia k vìdecké excelenci";"Vzdìlání, vìda, vızkum a inovace";49.1988242;16.6052267;"erotínovo námìstí 617/9";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=100491;197601146;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;07/2012;06/2015;"Masarykova univerzita";"Cílem projektu je vytvoøení pracovních míst pro nedávno vystudované èeské a zahranièní absolventy doktorského studia ve vızkumnıch tımech na osmi fakultách Masarykovy univerzity a vızkumném pracovišti Støedoevropském technologickém institutu (CEITEC), které pøispìje k rozvoji zkušeností vızkumnıch pracovníkù, sdílení poznatkù mezi rùznımi vìdními obory, mobilitì vìdeckıch expertù a zapojení do mezinárodních vızkumnıch tımù. Z projektu budou profitovat zamìstnaní absolventi doktorskıch programù, èlenové vızkumnıch tımù, akademiètí pracovníci a studenti bakaláøskıch, magisterskıch i doktorskıch studijních programù. Širším dopadem aktivit je podpora excelence základního i aplikovaného vızkumu v Jihomoravském kraji. Vısledkem projektu bude 57 pracovních míst postdokù, uskuteènìní pracovních stáí, napojení pracovníkù na aplikaèní sféru, tvorba kvalitních vızkumnıch vısledkù pod vedením zkušenıch mentorù a vyuèování studentù, akademickıch a vìdeckıch pracovníkù."
;"Podpora tvorby excelentních tımù mezioborového vızkumu na VUT";"Vzdìlání, vìda, vızkum a inovace";49.2015406;16.6036136;"Antonínská 548/1";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=100306;178;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;07/2012;06/2015;"Vysoké uèení technické v Brnì";"Hlavním cílem tohoto celouniverzitního projektu je podpoøit tvorbu excelentních tımù na VUT v Brnì zapojením novıch spolupracovníkù z jinıch institucí do èinnosti vızkumnıch a vıvojovıch tımù na postdoktorandskıch pozicích na VUT v Brnì s dùrazem na internacionalizaci,multidisciplinaritu, intersektorální mobilitu a spolupráci.Vyuity a podpoøeny budou pøedevším synergie mezi jednotlivımi VaV tımy projektù OP VaVpI,které se pohybují v mezioborovém prostøedí 5 fakult VUT v Brnì.V prùbìhu realizace projektu budou v tìchto tımech pøijati na základì vıbìrovıch øízení noví ""postdoci"" a získají bohaté zkušenosti se zahranièním vızkumem a projekty mezinárodního vızkumu a vıvoje.Tito mladí vìdci se budou úèastnit zde i v zahranièí odbornıch vzdìlávacích akcí, souvisejících s tématy jejich vızkumné èinnosti. Své zkušenosti budou dále pøedávat ostatním èlenùm vızkumného tımu a dalším cílovım skupinám (pracovníci a studenti VŠ),kteøí tak budou mít monost rozvíjet své odborné znalosti a kompetence."
;"Støedoevropské centrum pro vytváøení a realizaci inovovanıch technicko-ekonomickıch studijních programù";"Vzdìlání, vìda, vızkum a inovace";49.2065100;16.5922500;"Veveøí 331/95";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=99712;51;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;02/2012;01/2015;"Vysoké uèení technické v Brnì";"Obsahem jsou èinnosti vedoucí k posílení kvality vysokoškolského studia ve všech jeho stupních (Bc., MNg., PhD. studijní programy) na Fakultì stavební VUT v Brnì (FAST VUT). Cílovou skupinou jsou studenti tìchto studijních programù, zapsaní v dobì realizace projektu do studia, plus akademiètí a ostatní pracovníci FAST VUT, podílející se na vzdìlávání. Pøedmìtem projektu je: 1) Inovace pøedmìtù, která je zamìøena na zavedení nejnovìjších vìdeckıch poznatkù majících bezprostøední vztah k inenırské praxi. 2) Realizace kurzù pro akademické a ostatní pracovníky, které povedou ke zdokonalení gramotnosti v oblasti ICT, zvyšování jazykovıch kompetencí a odbornıch kompetencí.  3) Stáe a exkurze studentù. 4) Mobilita studentù a akademickıch pracovníkù. Inovace vychází ze znalostní ekonomiky a potøeb trhu práce. Dojde k ušímu propojení nabytıch teoretickıch znalostí a jejich aplikací v praxi, pøièem dílèí èást vıuky bude realizována v anglickém jazyce."
